Count,roc_auc_train_H_PWM,roc_auc_train_H_PWM_di,roc_auc_test_H_PWM,roc_auc_test_H_PWM_di,roc_auc_test_M_PWM,roc_auc_test_M_PWM_di,roc_auc_train_H,mean_auc_train_H,median_auc_train_H,std_auc_train_H,roc_auc_test_H,mean_auc_test_H,median_auc_test_H,std_auc_test_H,roc_auc_test_M,mean_auc_test_M,median_auc_test_M,std_auc_test_M,pr_auc_train_H,mean_pr_auc_train_H,median_pr_auc_train_H,std_pr_auc_train_H,pr_auc_test_H,mean_pr_auc_test_H,median_pr_auc_test_H,std_pr_auc_test_H,pr_auc_test_M,mean_pr_auc_test_M,median_pr_auc_test_M,std_pr_auc_test_M,pr_auc_train_H_PWM,pr_auc_train_H_PWM_di,pr_auc_test_H_PWM,pr_auc_test_H_PWM_di,pr_auc_test_M_PWM,pr_auc_test_M_PWM_di,TF_name,Model,PWM,PR_delta_M,ROC_delta_M,dLR
2,0.7435581446592738,0.0,0.7635192118221372,0.0,0.9447656165456744,0.0,0.8055738008483239,0.0,0.0,0.0,0.8158630876108535,0.0,0.0,0.0,0.967013604564846,0.0,0.0,0.0,0.3163684631532364,0.0,0.0,0.0,0.3366542817386914,0.0,0.0,0.0,0.8638905010868806,0.0,0.0,0.0,0.2944813029033823,0.0,0.3174055477337399,0.0,0.8570553954881335,0.0,ZBTB40,RandomForestClassifier,2,0.006835105598747115,0.021243028131237796,0.021243028131237796
4,0.7464504202576816,0.0,0.7657412184704393,0.0,0.9457705764336082,0.0,0.8085661646777954,0.0,0.0,0.0,0.8177942997448805,0.0,0.0,0.0,0.9699034504303256,0.0,0.0,0.0,0.3230428982825198,0.0,0.0,0.0,0.3413409680388545,0.0,0.0,0.0,0.8658693203290075,0.0,0.0,0.0,0.2944813029033823,0.0,0.3174055477337399,0.0,0.8570553954881335,0.0,ZBTB40,RandomForestClassifier,4,0.008813924840874066,0.024132873996717374,0.024132873996717374
8,0.7464504202576816,0.0,0.7657412184704393,0.0,0.9457705764336082,0.0,0.8163899550864941,0.0,0.0,0.0,0.8256082146191084,0.0,0.0,0.0,0.9720400333088728,0.0,0.0,0.0,0.3282351812873371,0.0,0.0,0.0,0.345894970665436,0.0,0.0,0.0,0.8687003875139816,0.0,0.0,0.0,0.2944813029033823,0.0,0.3174055477337399,0.0,0.8570553954881335,0.0,ZBTB40,RandomForestClassifier,8,0.011644992025848122,0.026269456875264607,0.026269456875264607
16,0.7464504202576816,0.0,0.7657412184704393,0.0,0.9457705764336082,0.0,0.8168906990685096,0.0,0.0,0.0,0.8246309896051512,0.0,0.0,0.0,0.9703014005538724,0.0,0.0,0.0,0.333650599306282,0.0,0.0,0.0,0.3507607829812343,0.0,0.0,0.0,0.8734463090603468,0.0,0.0,0.0,0.2944813029033823,0.0,0.3174055477337399,0.0,0.8570553954881335,0.0,ZBTB40,RandomForestClassifier,16,0.01639091357221334,0.024530824120264194,0.024530824120264194
all,0.7464504202576816,0.0,0.7657412184704393,0.0,0.9457705764336082,0.0,0.8168504865255977,0.0,0.0,0.0,0.825031073704627,0.0,0.0,0.0,0.9696845172759408,0.0,0.0,0.0,0.3325270928845286,0.0,0.0,0.0,0.349760334664667,0.0,0.0,0.0,0.873395124262316,0.0,0.0,0.0,0.2944813029033823,0.0,0.3174055477337399,0.0,0.8570553954881335,0.0,ZBTB40,RandomForestClassifier,all,0.01633972877418255,0.02391394084233267,0.02391394084233267
2,0.7473400310980434,0.0,0.7450977559550609,0.0,0.5299563096497608,0.0,0.7710590558962163,0.0,0.0,0.0,0.7642075724312614,0.0,0.0,0.0,0.5672484010741549,0.0,0.0,0.0,0.0818856048980811,0.0,0.0,0.0,0.0749817687631013,0.0,0.0,0.0,0.0118291033511289,0.0,0.0,0.0,0.0486888808701115,0.0,0.0482911625215588,0.0,0.0111841292617367,0.0,MGA,RandomForestClassifier,2,0.0006449740893922015,0.03729209142439405,0.03729209142439405
4,0.7473400310980434,0.0,0.7450977559550609,0.0,0.5299563096497608,0.0,0.8050279117135183,0.0,0.0,0.0,0.7985451193803533,0.0,0.0,0.0,0.8113744356462196,0.0,0.0,0.0,0.0975435101302907,0.0,0.0,0.0,0.0853043868654933,0.0,0.0,0.0,0.0363610782761177,0.0,0.0,0.0,0.0486888808701115,0.0,0.0482911625215588,0.0,0.0111841292617367,0.0,MGA,RandomForestClassifier,4,0.025176949014381004,0.28141812599645877,0.28141812599645877
8,0.7473400310980434,0.0,0.7450977559550609,0.0,0.5299563096497608,0.0,0.8098609091139178,0.0,0.0,0.0,0.8020345645540402,0.0,0.0,0.0,0.8208619367482937,0.0,0.0,0.0,0.1055426453022927,0.0,0.0,0.0,0.0901395432433808,0.0,0.0,0.0,0.0624578822979156,0.0,0.0,0.0,0.0486888808701115,0.0,0.0482911625215588,0.0,0.0111841292617367,0.0,MGA,RandomForestClassifier,8,0.0512737530361789,0.29090562709853285,0.29090562709853285
16,0.7473400310980434,0.0,0.7450977559550609,0.0,0.5299563096497608,0.0,0.8173915460166337,0.0,0.0,0.0,0.8081020619940948,0.0,0.0,0.0,0.8575338665841336,0.0,0.0,0.0,0.1081123563029725,0.0,0.0,0.0,0.0908410682808087,0.0,0.0,0.0,0.0764602186623405,0.0,0.0,0.0,0.0486888808701115,0.0,0.0482911625215588,0.0,0.0111841292617367,0.0,MGA,RandomForestClassifier,16,0.0652760894006038,0.32757755693437274,0.32757755693437274
all,0.7473400310980434,0.0,0.7450977559550609,0.0,0.5299563096497608,0.0,0.8159616741773406,0.0,0.0,0.0,0.8060596978967186,0.0,0.0,0.0,0.8619307978587925,0.0,0.0,0.0,0.1075256468475065,0.0,0.0,0.0,0.0898443428423537,0.0,0.0,0.0,0.0812810193682276,0.0,0.0,0.0,0.0486888808701115,0.0,0.0482911625215588,0.0,0.0111841292617367,0.0,MGA,RandomForestClassifier,all,0.0700968901064909,0.33197448820903164,0.33197448820903164
