Count,roc_auc_train_H_PWM,roc_auc_train_H_PWM_di,roc_auc_test_H_PWM,roc_auc_test_H_PWM_di,roc_auc_test_M_PWM,roc_auc_test_M_PWM_di,roc_auc_train_H,mean_auc_train_H,median_auc_train_H,std_auc_train_H,roc_auc_test_H,mean_auc_test_H,median_auc_test_H,std_auc_test_H,roc_auc_test_M,mean_auc_test_M,median_auc_test_M,std_auc_test_M,pr_auc_train_H,mean_pr_auc_train_H,median_pr_auc_train_H,std_pr_auc_train_H,pr_auc_test_H,mean_pr_auc_test_H,median_pr_auc_test_H,std_pr_auc_test_H,pr_auc_test_M,mean_pr_auc_test_M,median_pr_auc_test_M,std_pr_auc_test_M,pr_auc_train_H_PWM,pr_auc_train_H_PWM_di,pr_auc_test_H_PWM,pr_auc_test_H_PWM_di,pr_auc_test_M_PWM,pr_auc_test_M_PWM_di,TF_name,Model,PWM,PR_delta_M,ROC_delta_M,dLR
16,0.9589921664975344,0.0,0.9566131568553704,0.0,0.8163544139411137,0.0,0.9739713365023412,0.0,0.0,0.0,0.9716680897070702,0.0,0.0,0.0,0.8185034300435554,0.0,0.0,0.0,0.6529920283416324,0.0,0.0,0.0,0.5332865402985744,0.0,0.0,0.0,0.132148671041429,0.0,0.0,0.0,0.4800208595191748,0.0,0.4480297347784769,0.0,0.1231356993578871,0.0,ZNF683,RandomForestClassifier,16,0.009012971683541898,0.00214901610244167,0.00214901610244167
all,0.9589921664975344,0.0,0.9566131568553704,0.0,0.8163544139411137,0.0,0.9717172034396196,0.0,0.0,0.0,0.9662103037204736,0.0,0.0,0.0,0.8044134983914424,0.0,0.0,0.0,0.6551608936977924,0.0,0.0,0.0,0.5352194428282314,0.0,0.0,0.0,0.1351588278546734,0.0,0.0,0.0,0.4800208595191748,0.0,0.4480297347784769,0.0,0.1231356993578871,0.0,ZNF683,RandomForestClassifier,all,0.0120231284967863,-0.01194091554967136,-0.01194091554967136
2,0.8666505278406519,0.0,0.8710272014709192,0.0,0.7722171321491769,0.0,0.9044074676324128,0.0,0.0,0.0,0.8995779785874005,0.0,0.0,0.0,0.7465563157371243,0.0,0.0,0.0,0.4062092463429984,0.0,0.0,0.0,0.3445188314221888,0.0,0.0,0.0,0.0493457278244666,0.0,0.0,0.0,0.3362897352703811,0.0,0.3331657665086505,0.0,0.0473341902140332,0.0,TTF1,RandomForestClassifier,2,0.002011537610433399,-0.025660816412052534,-0.025660816412052534
4,0.8666505278406519,0.0,0.8710272014709192,0.0,0.7722171321491769,0.0,0.901865162516976,0.0,0.0,0.0,0.895954714889705,0.0,0.0,0.0,0.7317611831730085,0.0,0.0,0.0,0.4510511744325872,0.0,0.0,0.0,0.3687553091576798,0.0,0.0,0.0,0.0538262323712115,0.0,0.0,0.0,0.3362897352703811,0.0,0.3331657665086505,0.0,0.0473341902140332,0.0,TTF1,RandomForestClassifier,4,0.006492042157178302,-0.04045594897616833,-0.04045594897616833
8,0.8666505278406519,0.0,0.8710272014709192,0.0,0.7722171321491769,0.0,0.90327299230421,0.0,0.0,0.0,0.896969149960019,0.0,0.0,0.0,0.7378587021042972,0.0,0.0,0.0,0.4665915432591823,0.0,0.0,0.0,0.3714160413451562,0.0,0.0,0.0,0.0541034697841147,0.0,0.0,0.0,0.3362897352703811,0.0,0.3331657665086505,0.0,0.0473341902140332,0.0,TTF1,RandomForestClassifier,8,0.006769279570081499,-0.034358430044879706,-0.034358430044879706
16,0.8666505278406519,0.0,0.8710272014709192,0.0,0.7722171321491769,0.0,0.9093862344952468,0.0,0.0,0.0,0.9022003397191272,0.0,0.0,0.0,0.740884296048024,0.0,0.0,0.0,0.4914301246489494,0.0,0.0,0.0,0.3878849529740894,0.0,0.0,0.0,0.0588139812878735,0.0,0.0,0.0,0.3362897352703811,0.0,0.3331657665086505,0.0,0.0473341902140332,0.0,TTF1,RandomForestClassifier,16,0.011479791073840298,-0.031332836101152894,-0.031332836101152894
all,0.8666505278406519,0.0,0.8710272014709192,0.0,0.7722171321491769,0.0,0.9170575101856044,0.0,0.0,0.0,0.9051620907928696,0.0,0.0,0.0,0.7647368321968725,0.0,0.0,0.0,0.4912266248586591,0.0,0.0,0.0,0.3883461622608772,0.0,0.0,0.0,0.0624203178985482,0.0,0.0,0.0,0.3362897352703811,0.0,0.3331657665086505,0.0,0.0473341902140332,0.0,TTF1,RandomForestClassifier,all,0.015086127684514998,-0.00748029995230437,-0.00748029995230437
2,0.7760235758159701,0.0,0.766948419341695,0.0,0.6802503508091077,0.0,0.8635757963334363,0.0,0.0,0.0,0.8218589232568028,0.0,0.0,0.0,0.6841158994361809,0.0,0.0,0.0,0.1614560503323679,0.0,0.0,0.0,0.0807937413290833,0.0,0.0,0.0,0.0227666556554646,0.0,0.0,0.0,0.0455896807921204,0.0,0.0428301187403919,0.0,0.0120574859486644,0.0,SP100,RandomForestClassifier,2,0.0107091697068002,0.003865548627073223,0.003865548627073223
4,0.7760235758159701,0.0,0.766948419341695,0.0,0.6802503508091077,0.0,0.8493056595573103,0.0,0.0,0.0,0.8174705702593538,0.0,0.0,0.0,0.6805460033374732,0.0,0.0,0.0,0.2327616657616555,0.0,0.0,0.0,0.1417033199085804,0.0,0.0,0.0,0.0212915213476609,0.0,0.0,0.0,0.0637757515075284,0.0,0.0576988780248389,0.0,0.011223572233312,0.0,SP100,RandomForestClassifier,4,0.010067949114348902,0.0002956525283654976,0.0002956525283654976
8,0.7760235758159701,0.0,0.766948419341695,0.0,0.6802503508091077,0.0,0.8782904947923484,0.0,0.0,0.0,0.8439690843785431,0.0,0.0,0.0,0.6978494808807343,0.0,0.0,0.0,0.2846998647406346,0.0,0.0,0.0,0.1747598088382213,0.0,0.0,0.0,0.0232251267003264,0.0,0.0,0.0,0.0637757515075284,0.0,0.0576988780248389,0.0,0.011223572233312,0.0,SP100,RandomForestClassifier,8,0.0120015544670144,0.017599130071626612,0.017599130071626612
16,0.7760235758159701,0.0,0.766948419341695,0.0,0.6802503508091077,0.0,0.9118040231660636,0.0,0.0,0.0,0.8840286856930272,0.0,0.0,0.0,0.7786790384738691,0.0,0.0,0.0,0.3336583723321058,0.0,0.0,0.0,0.2005598715827202,0.0,0.0,0.0,0.0323177893951266,0.0,0.0,0.0,0.0637757515075284,0.0,0.0576988780248389,0.0,0.011223572233312,0.0,SP100,RandomForestClassifier,16,0.0210942171618146,0.09842868766476143,0.09842868766476143
all,0.7760235758159701,0.0,0.766948419341695,0.0,0.6802503508091077,0.0,0.9172217022134482,0.0,0.0,0.0,0.887162964143991,0.0,0.0,0.0,0.7837183787324323,0.0,0.0,0.0,0.3389676299158141,0.0,0.0,0.0,0.2030293507118562,0.0,0.0,0.0,0.0338764591280184,0.0,0.0,0.0,0.0637757515075284,0.0,0.0576988780248389,0.0,0.011223572233312,0.0,SP100,RandomForestClassifier,all,0.0226528868947064,0.10346802792332466,0.10346802792332466
2,0.9884128341841038,0.0,0.973261970988654,0.0,0.6819385869565218,0.0,0.9996366871930084,0.0,0.0,0.0,0.9775429782048172,0.0,0.0,0.0,0.6922503071833648,0.0,0.0,0.0,0.9590324001211192,0.0,0.0,0.0,0.8681343273929109,0.0,0.0,0.0,0.2372428480916562,0.0,0.0,0.0,0.9137068691977476,0.0,0.9160690129660954,0.0,0.2567560416333274,0.0,ZNF596,RandomForestClassifier,2,-0.019513193541671192,0.010311720226843013,0.010311720226843013
4,0.9884128341841038,0.0,0.973261970988654,0.0,0.6819385869565218,0.0,0.9996273763342408,0.0,0.0,0.0,0.9788552310131404,0.0,0.0,0.0,0.7240710066162571,0.0,0.0,0.0,0.9594724663226586,0.0,0.0,0.0,0.8791072844344014,0.0,0.0,0.0,0.262820585105638,0.0,0.0,0.0,0.9137068691977476,0.0,0.9160690129660954,0.0,0.2567560416333274,0.0,ZNF596,RandomForestClassifier,4,0.006064543472310613,0.042132419659735354,0.042132419659735354
8,0.9884128341841038,0.0,0.973261970988654,0.0,0.6819385869565218,0.0,0.999642969010846,0.0,0.0,0.0,0.9769818213618744,0.0,0.0,0.0,0.7365010396975425,0.0,0.0,0.0,0.962172682791096,0.0,0.0,0.0,0.8999621989862902,0.0,0.0,0.0,0.2693329808236657,0.0,0.0,0.0,0.9137068691977476,0.0,0.9160690129660954,0.0,0.2567560416333274,0.0,ZNF596,RandomForestClassifier,8,0.01257693919033831,0.054562452741020784,0.054562452741020784
16,0.9884128341841038,0.0,0.973261970988654,0.0,0.6819385869565218,0.0,0.9996177728976564,0.0,0.0,0.0,0.9849649347498604,0.0,0.0,0.0,0.7363030482041588,0.0,0.0,0.0,0.97470694485912,0.0,0.0,0.0,0.915810576586983,0.0,0.0,0.0,0.2776332630909023,0.0,0.0,0.0,0.9137068691977476,0.0,0.9160690129660954,0.0,0.2567560416333274,0.0,ZNF596,RandomForestClassifier,16,0.020877221457574924,0.05436446124763705,0.05436446124763705
all,0.9884128341841038,0.0,0.973261970988654,0.0,0.6819385869565218,0.0,0.999685358373405,0.0,0.0,0.0,0.9828385926506849,0.0,0.0,0.0,0.7408166587901701,0.0,0.0,0.0,0.9749623162347744,0.0,0.0,0.0,0.9147602153751327,0.0,0.0,0.0,0.2908499471352559,0.0,0.0,0.0,0.9137068691977476,0.0,0.9160690129660954,0.0,0.2567560416333274,0.0,ZNF596,RandomForestClassifier,all,0.034093905501928534,0.05887807183364835,0.05887807183364835
2,0.957357458847492,0.0,0.957285594321152,0.0,0.769074145707482,0.0,0.9598948518601186,0.0,0.0,0.0,0.9590145672766404,0.0,0.0,0.0,0.7661673463152642,0.0,0.0,0.0,0.2831741293059254,0.0,0.0,0.0,0.2638803927115969,0.0,0.0,0.0,0.0370350279349475,0.0,0.0,0.0,0.2635463882270524,0.0,0.2573404832939828,0.0,0.0324134616685908,0.0,MAX,RandomForestClassifier,2,0.004621566266356701,-0.0029067993922178292,-0.0029067993922178292
4,0.957357458847492,0.0,0.957285594321152,0.0,0.769074145707482,0.0,0.9644656888384304,0.0,0.0,0.0,0.9640796667657876,0.0,0.0,0.0,0.7720008572469534,0.0,0.0,0.0,0.3318034135138485,0.0,0.0,0.0,0.3088526842818901,0.0,0.0,0.0,0.0361983799253336,0.0,0.0,0.0,0.2819497542686194,0.0,0.2810254743182154,0.0,0.0244457285601267,0.0,MAX,RandomForestClassifier,4,0.011752651365206899,0.0029267115394714383,0.0029267115394714383
8,0.957357458847492,0.0,0.957285594321152,0.0,0.769074145707482,0.0,0.9655285366786408,0.0,0.0,0.0,0.9650983105751304,0.0,0.0,0.0,0.7728564437827292,0.0,0.0,0.0,0.3439537273268028,0.0,0.0,0.0,0.3198719921945485,0.0,0.0,0.0,0.0364254362400865,0.0,0.0,0.0,0.2819497542686194,0.0,0.2810254743182154,0.0,0.0244457285601267,0.0,MAX,RandomForestClassifier,8,0.0119797076799598,0.0037822980752472146,0.0037822980752472146
16,0.957357458847492,0.0,0.957285594321152,0.0,0.769074145707482,0.0,0.9673448634968704,0.0,0.0,0.0,0.9670048537707768,0.0,0.0,0.0,0.7738274321250259,0.0,0.0,0.0,0.3671431808431235,0.0,0.0,0.0,0.3427907356052315,0.0,0.0,0.0,0.0369682082357136,0.0,0.0,0.0,0.2819497542686194,0.0,0.2810254743182154,0.0,0.0244457285601267,0.0,MAX,RandomForestClassifier,16,0.012522479675586898,0.004753286417543912,0.004753286417543912
all,0.957357458847492,0.0,0.957285594321152,0.0,0.769074145707482,0.0,0.968905309283668,0.0,0.0,0.0,0.968748814012546,0.0,0.0,0.0,0.7743805978757432,0.0,0.0,0.0,0.3706841155156237,0.0,0.0,0.0,0.3502464118332775,0.0,0.0,0.0,0.036596782866961,0.0,0.0,0.0,0.2819497542686194,0.0,0.2810254743182154,0.0,0.0244457285601267,0.0,MAX,RandomForestClassifier,all,0.012151054306834299,0.0053064521682612,0.0053064521682612
2,0.7896982776468616,0.0,0.778240872573233,0.0,0.7386491710130174,0.0,0.8332829798598674,0.0,0.0,0.0,0.8200128833708,0.0,0.0,0.0,0.7377231091592003,0.0,0.0,0.0,0.131511876319547,0.0,0.0,0.0,0.1066435823610651,0.0,0.0,0.0,0.0375235676960694,0.0,0.0,0.0,0.0819261869789587,0.0,0.0753875848221839,0.0,0.026915665759331,0.0,ZNF648,RandomForestClassifier,2,0.010607901936738398,-0.0009260618538171617,-0.0009260618538171617
4,0.7896982776468616,0.0,0.778240872573233,0.0,0.7386491710130174,0.0,0.8460919129879242,0.0,0.0,0.0,0.8338794434664482,0.0,0.0,0.0,0.752775953368116,0.0,0.0,0.0,0.153582606475793,0.0,0.0,0.0,0.1206674581143159,0.0,0.0,0.0,0.0418759917111492,0.0,0.0,0.0,0.0819261869789587,0.0,0.0753875848221839,0.0,0.026915665759331,0.0,ZNF648,RandomForestClassifier,4,0.014960325951818204,0.014126782355098566,0.014126782355098566
8,0.7896982776468616,0.0,0.778240872573233,0.0,0.7386491710130174,0.0,0.8642634646893099,0.0,0.0,0.0,0.8530996109602746,0.0,0.0,0.0,0.7531732242135849,0.0,0.0,0.0,0.180634618348868,0.0,0.0,0.0,0.1412970521822441,0.0,0.0,0.0,0.0417853337741383,0.0,0.0,0.0,0.0819261869789587,0.0,0.0753875848221839,0.0,0.026915665759331,0.0,ZNF648,RandomForestClassifier,8,0.014869668014807304,0.014524053200567488,0.014524053200567488
16,0.7896982776468616,0.0,0.778240872573233,0.0,0.7386491710130174,0.0,0.8724561068275364,0.0,0.0,0.0,0.8622793950514297,0.0,0.0,0.0,0.7399325856858066,0.0,0.0,0.0,0.1869261917866103,0.0,0.0,0.0,0.1466328418381277,0.0,0.0,0.0,0.0419736203033848,0.0,0.0,0.0,0.0819261869789587,0.0,0.0753875848221839,0.0,0.026915665759331,0.0,ZNF648,RandomForestClassifier,16,0.0150579545440538,0.0012834146727891405,0.0012834146727891405
all,0.7896982776468616,0.0,0.778240872573233,0.0,0.7386491710130174,0.0,0.8741055057236518,0.0,0.0,0.0,0.864848187811729,0.0,0.0,0.0,0.7374277175959935,0.0,0.0,0.0,0.1885332146127659,0.0,0.0,0.0,0.1464398199891758,0.0,0.0,0.0,0.0417193036785904,0.0,0.0,0.0,0.0819261869789587,0.0,0.0753875848221839,0.0,0.026915665759331,0.0,ZNF648,RandomForestClassifier,all,0.0148036379192594,-0.0012214534170239544,-0.0012214534170239544
2,0.8330471451730089,0.0,0.8313807172796753,0.0,0.7053181516509043,0.0,0.8702507860074313,0.0,0.0,0.0,0.8542941501849632,0.0,0.0,0.0,0.7320642660197134,0.0,0.0,0.0,0.1852598066838932,0.0,0.0,0.0,0.1414126670945487,0.0,0.0,0.0,0.0359432101316347,0.0,0.0,0.0,0.09924803517237,0.0,0.0979473307203369,0.0,0.0403709546170029,0.0,ZNF215,RandomForestClassifier,2,-0.004427744485368201,0.026746114368809137,0.026746114368809137
4,0.8330471451730089,0.0,0.8313807172796753,0.0,0.7053181516509043,0.0,0.8760507599344576,0.0,0.0,0.0,0.8616915074437301,0.0,0.0,0.0,0.7328941511167227,0.0,0.0,0.0,0.2227412173256713,0.0,0.0,0.0,0.158870859815944,0.0,0.0,0.0,0.0366040156868066,0.0,0.0,0.0,0.09924803517237,0.0,0.0979473307203369,0.0,0.0403709546170029,0.0,ZNF215,RandomForestClassifier,4,-0.0037669389301962994,0.027575999465818457,0.027575999465818457
8,0.8330471451730089,0.0,0.8313807172796753,0.0,0.7053181516509043,0.0,0.8894767568711559,0.0,0.0,0.0,0.8704023006509739,0.0,0.0,0.0,0.7427849457252661,0.0,0.0,0.0,0.2573716970032992,0.0,0.0,0.0,0.1880183666426756,0.0,0.0,0.0,0.0383378787379105,0.0,0.0,0.0,0.09924803517237,0.0,0.0979473307203369,0.0,0.0403709546170029,0.0,ZNF215,RandomForestClassifier,8,-0.0020330758790923983,0.03746679407436182,0.03746679407436182
16,0.8330471451730089,0.0,0.8313807172796753,0.0,0.7053181516509043,0.0,0.9033258723537022,0.0,0.0,0.0,0.8832913567163632,0.0,0.0,0.0,0.758801504341574,0.0,0.0,0.0,0.284456000448529,0.0,0.0,0.0,0.1936237225964604,0.0,0.0,0.0,0.0414001273556714,0.0,0.0,0.0,0.09924803517237,0.0,0.0979473307203369,0.0,0.0403709546170029,0.0,ZNF215,RandomForestClassifier,16,0.0010291727386684962,0.05348335269066973,0.05348335269066973
all,0.8330471451730089,0.0,0.8313807172796753,0.0,0.7053181516509043,0.0,0.901796981535098,0.0,0.0,0.0,0.8822822128281161,0.0,0.0,0.0,0.7582670024186553,0.0,0.0,0.0,0.2871933131032611,0.0,0.0,0.0,0.1951088715564458,0.0,0.0,0.0,0.0414955788736999,0.0,0.0,0.0,0.09924803517237,0.0,0.0979473307203369,0.0,0.0403709546170029,0.0,ZNF215,RandomForestClassifier,all,0.0011246242566970016,0.05294885076775102,0.05294885076775102
2,0.8900221167788491,0.0,0.8984022168784778,0.0,0.8545896670680003,0.0,0.934179224897174,0.0,0.0,0.0,0.9114504247853866,0.0,0.0,0.0,0.8353701954271288,0.0,0.0,0.0,0.606584076187291,0.0,0.0,0.0,0.5927305688475507,0.0,0.0,0.0,0.1597997484607898,0.0,0.0,0.0,0.4617326530992786,0.0,0.543473535990949,0.0,0.2014932162783863,0.0,ZNF623,RandomForestClassifier,2,-0.0416934678175965,-0.019219471640871566,-0.019219471640871566
4,0.8900221167788491,0.0,0.8984022168784778,0.0,0.8545896670680003,0.0,0.9355323824622972,0.0,0.0,0.0,0.9265321777309672,0.0,0.0,0.0,0.7875859278255362,0.0,0.0,0.0,0.7588992366310611,0.0,0.0,0.0,0.6800636329229602,0.0,0.0,0.0,0.1365275398759256,0.0,0.0,0.0,0.4617326530992786,0.0,0.543473535990949,0.0,0.2014932162783863,0.0,ZNF623,RandomForestClassifier,4,-0.06496567640246068,-0.06700373924246417,-0.06700373924246417
8,0.8900221167788491,0.0,0.8984022168784778,0.0,0.8545896670680003,0.0,0.941899334804024,0.0,0.0,0.0,0.9369790113508746,0.0,0.0,0.0,0.8332806291785514,0.0,0.0,0.0,0.770728325255469,0.0,0.0,0.0,0.7178852980876294,0.0,0.0,0.0,0.1592369199087811,0.0,0.0,0.0,0.4617326530992786,0.0,0.543473535990949,0.0,0.2014932162783863,0.0,ZNF623,RandomForestClassifier,8,-0.04225629636960518,-0.021309037889448934,-0.021309037889448934
16,0.8900221167788491,0.0,0.8984022168784778,0.0,0.8545896670680003,0.0,0.9464617667469716,0.0,0.0,0.0,0.9294891789174476,0.0,0.0,0.0,0.8223475062796541,0.0,0.0,0.0,0.7901714211413993,0.0,0.0,0.0,0.7381515692455609,0.0,0.0,0.0,0.1708965114642125,0.0,0.0,0.0,0.4617326530992786,0.0,0.543473535990949,0.0,0.2014932162783863,0.0,ZNF623,RandomForestClassifier,16,-0.030596704814173786,-0.032242160788346186,-0.032242160788346186
all,0.8900221167788491,0.0,0.8984022168784778,0.0,0.8545896670680003,0.0,0.9463772208461924,0.0,0.0,0.0,0.9309372561211606,0.0,0.0,0.0,0.8286085563986334,0.0,0.0,0.0,0.7886828296480392,0.0,0.0,0.0,0.7411742080826998,0.0,0.0,0.0,0.175811339246468,0.0,0.0,0.0,0.4617326530992786,0.0,0.543473535990949,0.0,0.2014932162783863,0.0,ZNF623,RandomForestClassifier,all,-0.025681877031918293,-0.025981110669366925,-0.025981110669366925
2,0.890119359027438,0.0,0.8850458240806955,0.0,0.79207344922106,0.0,0.9341058188113968,0.0,0.0,0.0,0.9064459520493808,0.0,0.0,0.0,0.7607678037591779,0.0,0.0,0.0,0.7667437212738468,0.0,0.0,0.0,0.6440768533733909,0.0,0.0,0.0,0.082522960739811,0.0,0.0,0.0,0.6741265801410297,0.0,0.5885296897696228,0.0,0.0852602253586636,0.0,ZFAT,RandomForestClassifier,2,-0.0027372646188525973,-0.03130564546188219,-0.03130564546188219
4,0.890119359027438,0.0,0.8850458240806955,0.0,0.79207344922106,0.0,0.9183191877752268,0.0,0.0,0.0,0.9007350201362492,0.0,0.0,0.0,0.7622382418366869,0.0,0.0,0.0,0.7762940947468765,0.0,0.0,0.0,0.6683584312267693,0.0,0.0,0.0,0.0933738269929393,0.0,0.0,0.0,0.6741265801410297,0.0,0.5885296897696228,0.0,0.0852602253586636,0.0,ZFAT,RandomForestClassifier,4,0.0081136016342757,-0.029835207384373175,-0.029835207384373175
