Count,roc_auc_train_H_PWM,roc_auc_train_H_PWM_di,roc_auc_test_H_PWM,roc_auc_test_H_PWM_di,roc_auc_test_M_PWM,roc_auc_test_M_PWM_di,roc_auc_train_H,mean_auc_train_H,median_auc_train_H,std_auc_train_H,roc_auc_test_H,mean_auc_test_H,median_auc_test_H,std_auc_test_H,roc_auc_test_M,mean_auc_test_M,median_auc_test_M,std_auc_test_M,pr_auc_train_H,mean_pr_auc_train_H,median_pr_auc_train_H,std_pr_auc_train_H,pr_auc_test_H,mean_pr_auc_test_H,median_pr_auc_test_H,std_pr_auc_test_H,pr_auc_test_M,mean_pr_auc_test_M,median_pr_auc_test_M,std_pr_auc_test_M,pr_auc_train_H_PWM,pr_auc_train_H_PWM_di,pr_auc_test_H_PWM,pr_auc_test_H_PWM_di,pr_auc_test_M_PWM,pr_auc_test_M_PWM_di,TF_name,Model,PWM,PR_delta_M,ROC_delta_M,dLR
2,0.982776676942468,0.0,0.9854956488214855,0.0,0.5804516684394979,0.0,0.9901230205073815,0.0,0.0,0.0,0.991134167040148,0.0,0.0,0.0,0.5288967988076716,0.0,0.0,0.0,0.8491697479156652,0.0,0.0,0.0,0.8538131202918459,0.0,0.0,0.0,0.0129819345242663,0.0,0.0,0.0,0.7981229899899046,0.0,0.8239701987630157,0.0,0.015257226391773,0.0,PAX7,RandomForestClassifier,2,-0.0022752918675067006,-0.05155486963182632,-0.05155486963182632
4,0.982776676942468,0.0,0.9854956488214855,0.0,0.5804516684394979,0.0,0.9904658844482952,0.0,0.0,0.0,0.9914254378567148,0.0,0.0,0.0,0.5304170543410178,0.0,0.0,0.0,0.8657838722825897,0.0,0.0,0.0,0.8672240203118455,0.0,0.0,0.0,0.0135370717390554,0.0,0.0,0.0,0.8234533132132432,0.0,0.844662506148244,0.0,0.0161041912380832,0.0,PAX7,RandomForestClassifier,4,-0.0025671194990277996,-0.05003461409848009,-0.05003461409848009
8,0.982776676942468,0.0,0.9854956488214855,0.0,0.5804516684394979,0.0,0.9902983624427932,0.0,0.0,0.0,0.9902605152275988,0.0,0.0,0.0,0.5517849226611117,0.0,0.0,0.0,0.8722995875963282,0.0,0.0,0.0,0.8763947314953257,0.0,0.0,0.0,0.0143090474753461,0.0,0.0,0.0,0.8234533132132432,0.0,0.844662506148244,0.0,0.0161041912380832,0.0,PAX7,RandomForestClassifier,8,-0.0017951437627371,-0.028666745778386238,-0.028666745778386238
16,0.982776676942468,0.0,0.9854956488214855,0.0,0.5804516684394979,0.0,0.9892200698244666,0.0,0.0,0.0,0.990186396603488,0.0,0.0,0.0,0.5469431104456663,0.0,0.0,0.0,0.8726452200659625,0.0,0.0,0.0,0.8767880347775046,0.0,0.0,0.0,0.0145251463849685,0.0,0.0,0.0,0.8234533132132432,0.0,0.844662506148244,0.0,0.0161041912380832,0.0,PAX7,RandomForestClassifier,16,-0.0015790448531146986,-0.03350855799383157,-0.03350855799383157
all,0.982776676942468,0.0,0.9854956488214855,0.0,0.5804516684394979,0.0,0.9896680056217696,0.0,0.0,0.0,0.990305266489002,0.0,0.0,0.0,0.5530322838230943,0.0,0.0,0.0,0.8723797092342015,0.0,0.0,0.0,0.8766873402006067,0.0,0.0,0.0,0.014761767000415,0.0,0.0,0.0,0.8234533132132432,0.0,0.844662506148244,0.0,0.0161041912380832,0.0,PAX7,RandomForestClassifier,all,-0.0013424242376681994,-0.027419384616403586,-0.027419384616403586
2,0.9409335946627926,0.0,0.9496343160850034,0.0,0.8119041789703916,0.0,0.951004910795962,0.0,0.0,0.0,0.9548468431087992,0.0,0.0,0.0,0.8125687943505607,0.0,0.0,0.0,0.4556444271733037,0.0,0.0,0.0,0.4408070114043104,0.0,0.0,0.0,0.0619243563763379,0.0,0.0,0.0,0.3690158167032201,0.0,0.3903309141509669,0.0,0.0573923677446796,0.0,ZNF746,RandomForestClassifier,2,0.004531988631658296,0.0006646153801691534,0.0006646153801691534
4,0.9409335946627926,0.0,0.9496343160850034,0.0,0.8119041789703916,0.0,0.9523782218607406,0.0,0.0,0.0,0.9549893338997522,0.0,0.0,0.0,0.8126010632152332,0.0,0.0,0.0,0.4943967245595612,0.0,0.0,0.0,0.5077610901639337,0.0,0.0,0.0,0.0646822023600035,0.0,0.0,0.0,0.3690158167032201,0.0,0.3903309141509669,0.0,0.0573923677446796,0.0,ZNF746,RandomForestClassifier,4,0.007289834615323891,0.0006968842448416002,0.0006968842448416002
8,0.9409335946627926,0.0,0.9496343160850034,0.0,0.8119041789703916,0.0,0.9560896667586471,0.0,0.0,0.0,0.9578398037546354,0.0,0.0,0.0,0.817649845016579,0.0,0.0,0.0,0.5865392768804677,0.0,0.0,0.0,0.5876232466749828,0.0,0.0,0.0,0.0699665383026372,0.0,0.0,0.0,0.3690158167032201,0.0,0.3903309141509669,0.0,0.0573923677446796,0.0,ZNF746,RandomForestClassifier,8,0.0125741705579576,0.005745666046187425,0.005745666046187425
16,0.9409335946627926,0.0,0.9496343160850034,0.0,0.8119041789703916,0.0,0.9564109526509422,0.0,0.0,0.0,0.9566347075174062,0.0,0.0,0.0,0.8231142917977246,0.0,0.0,0.0,0.5902196660566312,0.0,0.0,0.0,0.5990088670711482,0.0,0.0,0.0,0.0706427582253016,0.0,0.0,0.0,0.372231665625073,0.0,0.4199458515111783,0.0,0.0544364226956717,0.0,ZNF746,RandomForestClassifier,16,0.016206335529629898,0.011210112827332974,0.011210112827332974
all,0.9409335946627926,0.0,0.9496343160850034,0.0,0.8119041789703916,0.0,0.958576408575648,0.0,0.0,0.0,0.957419399666825,0.0,0.0,0.0,0.8480356024305068,0.0,0.0,0.0,0.5870394968089848,0.0,0.0,0.0,0.5964003564368988,0.0,0.0,0.0,0.073660430392361,0.0,0.0,0.0,0.372231665625073,0.0,0.4199458515111783,0.0,0.0544364226956717,0.0,ZNF746,RandomForestClassifier,all,0.019224007696689305,0.03613142346011522,0.03613142346011522
2,0.9589921664975344,0.0,0.9566131568553704,0.0,0.8163544139411137,0.0,0.9674353362174866,0.0,0.0,0.0,0.95805541790768,0.0,0.0,0.0,0.8138028789597291,0.0,0.0,0.0,0.5517853776131677,0.0,0.0,0.0,0.4439776205880446,0.0,0.0,0.0,0.1225435023249422,0.0,0.0,0.0,0.4677783814215058,0.0,0.4411745203684127,0.0,0.1169236835927316,0.0,ZNF683,RandomForestClassifier,2,0.005619818732210596,-0.0025515349813846067,-0.0025515349813846067
4,0.9589921664975344,0.0,0.9566131568553704,0.0,0.8163544139411137,0.0,0.9712199042176288,0.0,0.0,0.0,0.9611481631254788,0.0,0.0,0.0,0.8187625279863726,0.0,0.0,0.0,0.583848411456018,0.0,0.0,0.0,0.465573545133613,0.0,0.0,0.0,0.1218448047439584,0.0,0.0,0.0,0.4715929763694196,0.0,0.4452579067264507,0.0,0.1221412086587716,0.0,ZNF683,RandomForestClassifier,4,-0.00029640391481319806,0.002408114045258869,0.002408114045258869
8,0.9589921664975344,0.0,0.9566131568553704,0.0,0.8163544139411137,0.0,0.9724062668019726,0.0,0.0,0.0,0.970823301335004,0.0,0.0,0.0,0.8162029185939141,0.0,0.0,0.0,0.640930174322696,0.0,0.0,0.0,0.5392401323955405,0.0,0.0,0.0,0.1225469362506848,0.0,0.0,0.0,0.4800208595191748,0.0,0.4480297347784769,0.0,0.1231356993578871,0.0,ZNF683,RandomForestClassifier,8,-0.0005887631072022947,-0.0001514953471996039,-0.0001514953471996039
