Count,roc_auc_train_H_PWM,roc_auc_train_H_PWM_di,roc_auc_test_H_PWM,roc_auc_test_H_PWM_di,roc_auc_test_M_PWM,roc_auc_test_M_PWM_di,roc_auc_train_H,mean_auc_train_H,median_auc_train_H,std_auc_train_H,roc_auc_test_H,mean_auc_test_H,median_auc_test_H,std_auc_test_H,roc_auc_test_M,mean_auc_test_M,median_auc_test_M,std_auc_test_M,pr_auc_train_H,mean_pr_auc_train_H,median_pr_auc_train_H,std_pr_auc_train_H,pr_auc_test_H,mean_pr_auc_test_H,median_pr_auc_test_H,std_pr_auc_test_H,pr_auc_test_M,mean_pr_auc_test_M,median_pr_auc_test_M,std_pr_auc_test_M,pr_auc_train_H_PWM,pr_auc_train_H_PWM_di,pr_auc_test_H_PWM,pr_auc_test_H_PWM_di,pr_auc_test_M_PWM,pr_auc_test_M_PWM_di,TF_name,Model,PWM,PR_delta_M,ROC_delta_M,dLR
2,0.9447063235789244,0.0,0.9263084654662724,0.0,0.687180718336484,0.0,0.9599316613654088,0.0,0.0,0.0,0.9374719161515722,0.0,0.0,0.0,0.7171406427221171,0.0,0.0,0.0,0.8396391672589486,0.0,0.0,0.0,0.736230190977465,0.0,0.0,0.0,0.312454067529612,0.0,0.0,0.0,0.7949432261234772,0.0,0.6952601782441742,0.0,0.3060986167103973,0.0,ZFP3,RandomForestClassifier,2,0.006355450819214736,0.029959924385633108,0.029959924385633108
4,0.9447063235789244,0.0,0.9263084654662724,0.0,0.687180718336484,0.0,0.9564680837764468,0.0,0.0,0.0,0.935342475141091,0.0,0.0,0.0,0.7212767485822306,0.0,0.0,0.0,0.8493559851827553,0.0,0.0,0.0,0.7381430018469509,0.0,0.0,0.0,0.3134720310452676,0.0,0.0,0.0,0.7949432261234772,0.0,0.6952601782441742,0.0,0.3060986167103973,0.0,ZFP3,RandomForestClassifier,4,0.007373414334870321,0.03409603024574659,0.03409603024574659
8,0.9447063235789244,0.0,0.9263084654662724,0.0,0.687180718336484,0.0,0.9592266177596634,0.0,0.0,0.0,0.937816111260414,0.0,0.0,0.0,0.7329754253308127,0.0,0.0,0.0,0.852020210892522,0.0,0.0,0.0,0.7425182368724862,0.0,0.0,0.0,0.3149952454282819,0.0,0.0,0.0,0.7949432261234772,0.0,0.6952601782441742,0.0,0.3060986167103973,0.0,ZFP3,RandomForestClassifier,8,0.008896628717884603,0.04579470699432875,0.04579470699432875
16,0.9447063235789244,0.0,0.9263084654662724,0.0,0.687180718336484,0.0,0.963765585910919,0.0,0.0,0.0,0.9399868046224134,0.0,0.0,0.0,0.80062797731569,0.0,0.0,0.0,0.8570193962548701,0.0,0.0,0.0,0.7492504602128128,0.0,0.0,0.0,0.3865624776331359,0.0,0.0,0.0,0.7949432261234772,0.0,0.6952601782441742,0.0,0.3060986167103973,0.0,ZFP3,RandomForestClassifier,16,0.0804638609227386,0.11344725897920604,0.11344725897920604
all,0.9447063235789244,0.0,0.9263084654662724,0.0,0.687180718336484,0.0,0.9622967278998638,0.0,0.0,0.0,0.9399756382692824,0.0,0.0,0.0,0.7942049149338375,0.0,0.0,0.0,0.8563130252605543,0.0,0.0,0.0,0.752853414226108,0.0,0.0,0.0,0.3898733568778088,0.0,0.0,0.0,0.7949432261234772,0.0,0.6952601782441742,0.0,0.3060986167103973,0.0,ZFP3,RandomForestClassifier,all,0.08377474016741149,0.10702419659735352,0.10702419659735352
2,0.8610704223252486,0.0,0.8908647477183236,0.0,0.8843489426020054,0.0,0.935097270464066,0.0,0.0,0.0,0.8729835780348585,0.0,0.0,0.0,0.8730837552225376,0.0,0.0,0.0,0.6554303335157101,0.0,0.0,0.0,0.6510713618978914,0.0,0.0,0.0,0.5205368735137833,0.0,0.0,0.0,0.5645167672590118,0.0,0.6552845868972074,0.0,0.594103859276984,0.0,ZNF696,RandomForestClassifier,2,-0.07356698576320064,-0.0112651873794678,-0.0112651873794678
4,0.8610704223252486,0.0,0.8908647477183236,0.0,0.8843489426020054,0.0,0.9204022003249802,0.0,0.0,0.0,0.8887634687585849,0.0,0.0,0.0,0.8868060944138753,0.0,0.0,0.0,0.6569088783350884,0.0,0.0,0.0,0.6622712451546002,0.0,0.0,0.0,0.5719895670468352,0.0,0.0,0.0,0.5652863995603798,0.0,0.6622039874771328,0.0,0.5883849128278038,0.0,ZNF696,RandomForestClassifier,4,-0.016395345780968573,0.0024571518118698954,0.0024571518118698954
8,0.8610704223252486,0.0,0.8908647477183236,0.0,0.8843489426020054,0.0,0.913520072747872,0.0,0.0,0.0,0.8904554195537376,0.0,0.0,0.0,0.891377549343976,0.0,0.0,0.0,0.6358310727220565,0.0,0.0,0.0,0.6712732099817471,0.0,0.0,0.0,0.6796437460396872,0.0,0.0,0.0,0.5652863995603798,0.0,0.6622039874771328,0.0,0.5883849128278038,0.0,ZNF696,RandomForestClassifier,8,0.09125883321188344,0.007028606741970589,0.007028606741970589
16,0.8610704223252486,0.0,0.8908647477183236,0.0,0.8843489426020054,0.0,0.9161456299101088,0.0,0.0,0.0,0.8833132383016391,0.0,0.0,0.0,0.9016115619968608,0.0,0.0,0.0,0.6424319388702583,0.0,0.0,0.0,0.6672874961621816,0.0,0.0,0.0,0.699718246234982,0.0,0.0,0.0,0.5652863995603798,0.0,0.6622039874771328,0.0,0.5883849128278038,0.0,ZNF696,RandomForestClassifier,16,0.11133333340717821,0.017262619394855405,0.017262619394855405
all,0.8610704223252486,0.0,0.8908647477183236,0.0,0.8843489426020054,0.0,0.910039579016413,0.0,0.0,0.0,0.888163364976649,0.0,0.0,0.0,0.921615896734666,0.0,0.0,0.0,0.6291014617364953,0.0,0.0,0.0,0.665467439410845,0.0,0.0,0.0,0.7229855511014054,0.0,0.0,0.0,0.5652863995603798,0.0,0.6622039874771328,0.0,0.5883849128278038,0.0,ZNF696,RandomForestClassifier,all,0.13460063827360158,0.03726695413266068,0.03726695413266068
2,0.7422458537364357,0.0,0.7365304905508224,0.0,0.7331580806979859,0.0,0.8276443956151948,0.0,0.0,0.0,0.7399476027522791,0.0,0.0,0.0,0.7283437599483678,0.0,0.0,0.0,0.0705053463852747,0.0,0.0,0.0,0.0250942858887457,0.0,0.0,0.0,0.0243368684128633,0.0,0.0,0.0,0.025157110855854,0.0,0.0250967523662304,0.0,0.0312256163953077,0.0,SP140,RandomForestClassifier,2,-0.006888747982444401,-0.004814320749618184,-0.004814320749618184
4,0.7422458537364357,0.0,0.7365304905508224,0.0,0.7331580806979859,0.0,0.8453575437351919,0.0,0.0,0.0,0.7494863302420811,0.0,0.0,0.0,0.7387521557102837,0.0,0.0,0.0,0.1010450273503397,0.0,0.0,0.0,0.0260147154130882,0.0,0.0,0.0,0.0264933124731912,0.0,0.0,0.0,0.025157110855854,0.0,0.0250967523662304,0.0,0.0312256163953077,0.0,SP140,RandomForestClassifier,4,-0.004732303922116501,0.005594075012297806,0.005594075012297806
8,0.7422458537364357,0.0,0.7365304905508224,0.0,0.7331580806979859,0.0,0.8691177030598126,0.0,0.0,0.0,0.7612185158324126,0.0,0.0,0.0,0.7781939224946421,0.0,0.0,0.0,0.1242929264527244,0.0,0.0,0.0,0.0283653651274474,0.0,0.0,0.0,0.0388290724208075,0.0,0.0,0.0,0.025157110855854,0.0,0.0250967523662304,0.0,0.0312256163953077,0.0,SP140,RandomForestClassifier,8,0.007603456025499798,0.045035841796656206,0.045035841796656206
16,0.7422458537364357,0.0,0.7365304905508224,0.0,0.7331580806979859,0.0,0.8690789314071882,0.0,0.0,0.0,0.7635124287187973,0.0,0.0,0.0,0.7927626225185072,0.0,0.0,0.0,0.1313723261358717,0.0,0.0,0.0,0.0288660442003833,0.0,0.0,0.0,0.0462451992246899,0.0,0.0,0.0,0.0260094161585695,0.0,0.0249016149783193,0.0,0.0491074558499828,0.0,SP140,RandomForestClassifier,16,-0.0028622566252929013,0.05960454182052122,0.05960454182052122
all,0.7422458537364357,0.0,0.7365304905508224,0.0,0.7331580806979859,0.0,0.8655202388026699,0.0,0.0,0.0,0.7577008833894506,0.0,0.0,0.0,0.7926266251491193,0.0,0.0,0.0,0.1334637150607315,0.0,0.0,0.0,0.0284307514380594,0.0,0.0,0.0,0.0461422881268346,0.0,0.0,0.0,0.0260094161585695,0.0,0.0249016149783193,0.0,0.0491074558499828,0.0,SP140,RandomForestClassifier,all,-0.0029651677231481988,0.059468544451133365,0.059468544451133365
2,0.882311943757213,0.0,0.8842939016310155,0.0,0.9321425403989566,0.0,0.8935624292607222,0.0,0.0,0.0,0.8914225071701514,0.0,0.0,0.0,0.9537739349506054,0.0,0.0,0.0,0.2167482970161173,0.0,0.0,0.0,0.1884882826582007,0.0,0.0,0.0,0.2585326973743594,0.0,0.0,0.0,0.1643070092751594,0.0,0.1705985062660506,0.0,0.283324886371043,0.0,ZNF18,RandomForestClassifier,2,-0.024792188996683617,0.021631394551648753,0.021631394551648753
4,0.882311943757213,0.0,0.8842939016310155,0.0,0.9321425403989566,0.0,0.8957623152021683,0.0,0.0,0.0,0.8939266027305983,0.0,0.0,0.0,0.947896306719472,0.0,0.0,0.0,0.2245245006495635,0.0,0.0,0.0,0.1964261529302573,0.0,0.0,0.0,0.2576279899215739,0.0,0.0,0.0,0.1643070092751594,0.0,0.1705985062660506,0.0,0.283324886371043,0.0,ZNF18,RandomForestClassifier,4,-0.025696896449469153,0.015753766320515394,0.015753766320515394
8,0.882311943757213,0.0,0.8842939016310155,0.0,0.9321425403989566,0.0,0.8970955575475937,0.0,0.0,0.0,0.8952395967019181,0.0,0.0,0.0,0.9506093323501768,0.0,0.0,0.0,0.2303090744693814,0.0,0.0,0.0,0.2022424067978394,0.0,0.0,0.0,0.2644056607132408,0.0,0.0,0.0,0.1643070092751594,0.0,0.1705985062660506,0.0,0.283324886371043,0.0,ZNF18,RandomForestClassifier,8,-0.01891922565780224,0.01846679195122014,0.01846679195122014
16,0.882311943757213,0.0,0.8842939016310155,0.0,0.9321425403989566,0.0,0.8990366556952317,0.0,0.0,0.0,0.8976916770168064,0.0,0.0,0.0,0.9535190129090584,0.0,0.0,0.0,0.238258566972545,0.0,0.0,0.0,0.2099103931528558,0.0,0.0,0.0,0.2728001154038005,0.0,0.0,0.0,0.1643070092751594,0.0,0.1705985062660506,0.0,0.283324886371043,0.0,ZNF18,RandomForestClassifier,16,-0.010524770967242525,0.021376472510101774,0.021376472510101774
all,0.882311943757213,0.0,0.8842939016310155,0.0,0.9321425403989566,0.0,0.8995441997758596,0.0,0.0,0.0,0.8990825507943339,0.0,0.0,0.0,0.9538835015999444,0.0,0.0,0.0,0.238008123116406,0.0,0.0,0.0,0.2107304640774823,0.0,0.0,0.0,0.2750861844453264,0.0,0.0,0.0,0.1643070092751594,0.0,0.1705985062660506,0.0,0.283324886371043,0.0,ZNF18,RandomForestClassifier,all,-0.00823870192571663,0.021740961200987785,0.021740961200987785
