,Count,roc_auc_train_H_PWM,roc_auc_train_H_PWM_di,roc_auc_test_H_PWM,roc_auc_test_H_PWM_di,roc_auc_test_M_PWM,roc_auc_test_M_PWM_di,roc_auc_train_H,mean_auc_train_H,median_auc_train_H,std_auc_train_H,roc_auc_test_H,mean_auc_test_H,median_auc_test_H,std_auc_test_H,roc_auc_test_M,mean_auc_test_M,median_auc_test_M,std_auc_test_M,pr_auc_train_H,mean_pr_auc_train_H,median_pr_auc_train_H,std_pr_auc_train_H,pr_auc_test_H,mean_pr_auc_test_H,median_pr_auc_test_H,std_pr_auc_test_H,pr_auc_test_M,mean_pr_auc_test_M,median_pr_auc_test_M,std_pr_auc_test_M,pr_auc_train_H_PWM,pr_auc_train_H_PWM_di,pr_auc_test_H_PWM,pr_auc_test_H_PWM_di,pr_auc_test_M_PWM,pr_auc_test_M_PWM_di,TF_name,Model,PWM,Seq_count_positives,Seq_count_random,Seq_count_alien,Seq_count_shades
0,34,0.757104507742292,0,0.7578508606971778,0,0.9381168731249064,0,0.7993862379199632,0,0,0,0.7847630358257827,0,0,0,0.9317134319048518,0,0,0,0.0617625064573864,0,0,0,0.045124540092748,0,0,0,0.1371522762759379,0,0,0,0.0354216412120902,0,0.0335157907709824,0,0.1131349572159646,0,LEUTX,RandomForestClassifier,mono,2706,270600,270600,5377
1,28,0.8994780609377382,0,0.9003453971712362,0,0.8510330373107092,0,0.9602981923249124,0,0,0,0.9540413443421034,0,0,0,0.937449733789492,0,0,0,0.4295441926146827,0,0,0,0.4135425499721541,0,0,0,0.2287902219647473,0,0,0,0.1810712090228823,0,0.1858181262071431,0,0.1214462630341459,0,FBXL19,RandomForestClassifier,mono,5258,525800,525800,10443
2,42,0.8136210230207166,0,0.8106163828418665,0,0.8362578446455665,0,0.8355546372419959,0,0,0,0.830174468119265,0,0,0,0.8303619709492939,0,0,0,0.1507250496575257,0,0,0,0.1426689924370136,0,0,0,0.083242049939043,0,0,0,0.0828406628878511,0,0.0827745586985445,0,0.1452441000512668,0,ZBED5,RandomForestClassifier,mono,21703,2170300,1377670,42931
3,38,0.8444495560609147,0,0.8391806092143733,0,0.8396080018066168,0,0.8571714089608784,0,0,0,0.8505980199598318,0,0,0,0.8382246226805675,0,0,0,0.2391963970710922,0,0,0,0.2080994134133501,0,0,0,0.4127984780565242,0,0,0,0.1804497688597017,0,0.1719199304877075,0,0.3719594326528952,0,ZFAT,RandomForestClassifier,mono,12101,1210100,1210100,23412
4,25,0.7238499775352232,0,0.7036182074196068,0,0.7690622250401118,0,0.7660177770356299,0,0,0,0.7418611783928847,0,0,0,0.8424019848869106,0,0,0,0.1173365118974886,0,0,0,0.0849784124479548,0,0,0,0.6342052986108092,0,0,0,0.0610840872448309,0,0.0449741167299677,0,0.6380353874258613,0,ZSCAN2,RandomForestClassifier,mono,8853,885300,885300,17349
5,26,0.7103722248199786,0,0.720507329404913,0,0.9771806825128008,0,0.7504785260496183,0,0,0,0.7483914521240516,0,0,0,0.9895440725340016,0,0,0,0.0669344325639263,0,0,0,0.0609794975140737,0,0,0,0.7188807955565132,0,0,0,0.0505394202597838,0,0.0520742641611325,0,0.693170493618825,0,LEF1,RandomForestClassifier,mono,12304,1230400,1230400,24524
6,23,0.8880693944449531,0,0.8791291531831726,0,0.9708840930851064,0,0.9244145713382248,0,0,0,0.8988283194375734,0,0,0,0.9740701038365778,0,0,0,0.1717314546521464,0,0,0,0.1117497047855454,0,0,0,0.4410010496918103,0,0,0,0.0700461422880681,0,0.0701022203217935,0,0.3567919157604777,0,ZNF395,RandomForestClassifier,mono,1357,135700,135700,2702
7,22,0.942862531061362,0,0.944355925695558,0,0.9074127761689053,0,0.9480558925544934,0,0,0,0.9496832944693682,0,0,0,0.916621704696766,0,0,0,0.4337194091093707,0,0,0,0.4472793659083251,0,0,0,0.2172488570769346,0,0,0,0.3998731455377198,0,0.4179926477788004,0,0.2229438907471569,0,ZFTA,RandomForestClassifier,mono,29213,2921300,1347065,58100
8,25,0.9070199268140527,0,0.9105316250244428,0,0.8996819590843265,0,0.9224792103875123,0,0,0,0.9252261224491086,0,0,0,0.9142650252027557,0,0,0,0.2708487788197088,0,0,0,0.2697400383642185,0,0,0,0.5959187609160775,0,0,0,0.2301789566061231,0,0.233201050113546,0,0.4863440377664903,0,FOSL2,RandomForestClassifier,mono,30492,3049200,1335576,60709
9,26,0.7342320884584986,0,0.768749654711517,0,0.7574074501067775,0,0.8846894207380238,0,0,0,0.8651092002673201,0,0,0,0.8799845600852894,0,0,0,0.5232981881893243,0,0,0,0.4498897336904876,0,0,0,0.3504961378574195,0,0,0,0.3138551966322302,0,0.3131116050341044,0,0.1843015078021187,0,ZNF226,RandomForestClassifier,mono,335,33500,33500,670
10,20,0.8344088474477789,0,0.8426164650430484,0,0.8480932950365331,0,0.8810903262581989,0,0,0,0.8835385194116709,0,0,0,0.8745672159234064,0,0,0,0.4112348380076718,0,0,0,0.3547237959310123,0,0,0,0.3157529516463205,0,0,0,0.2661962839495493,0,0.2651012536277861,0,0.2467411832525042,0,ZNF407,RandomForestClassifier,mono,896,89600,89600,1772
11,20,0.8967304429638012,0,0.9008046649853042,0,0.8980031908850947,0,0.9371406943787566,0,0,0,0.9328509681554582,0,0,0,0.9307912476193658,0,0,0,0.636249315144558,0,0,0,0.6003155541504065,0,0,0,0.7050236176433975,0,0,0,0.4881669958715807,0,0.4827935720163311,0,0.650785783899924,0,ZNF260,RandomForestClassifier,mono,2171,217100,217100,4201
12,24,0.7738421195515902,0,0.7693511552107567,0,0.869587851125245,0,0.8685370714639457,0,0,0,0.8600167945681252,0,0,0,0.9265192944349764,0,0,0,0.20459993919031,0,0,0,0.163781875159038,0,0,0,0.2775424174368106,0,0,0,0.0740712175255814,0,0.0724104030112948,0,0.0060535973470414,0,DNTTIP1,RandomForestClassifier,mono,5841,584100,584100,11485
13,28,0.8124372627296406,0,0.8146401707447745,0,0.8380834768648607,0,0.8267540165905843,0,0,0,0.8219973493542201,0,0,0,0.8459455490940326,0,0,0,0.1858553682260781,0,0,0,0.173088774530437,0,0,0,0.6028803864633773,0,0,0,0.1304286017462729,0,0.1414996347933989,0,0.5980403518975366,0,JRK,RandomForestClassifier,mono,3901,390100,390100,7757
14,30,0.85270864173643,0,0.8553599684776386,0,0.916103093118704,0,0.904478129562121,0,0,0,0.905161013404362,0,0,0,0.9267878321601096,0,0,0,0.3629791728547781,0,0,0,0.3577128286937506,0,0,0,0.2626391838638998,0,0,0,0.2516671571370378,0,0.2697078935908337,0,0.1256699896038753,0,ZNF471,RandomForestClassifier,mono,10136,1013600,1013600,20176
15,38,0.7599692599905523,0,0.7573461910933285,0,0.7471705591649855,0,0.8441792945537313,0,0,0,0.8385815893039781,0,0,0,0.7639388337585538,0,0,0,0.135928729515735,0,0,0,0.1405992928488875,0,0,0,0.0288955300770459,0,0,0,0.0544490181422074,0,0.0623994903061602,0,0.0153100999328098,0,ZBTB8A,RandomForestClassifier,mono,18230,1823000,1289655,35761
16,25,0.891643577867023,0,0.8963414218145023,0,0.8914853002872528,0,0.8980354358599453,0,0,0,0.90171386508328,0,0,0,0.9002191381222021,0,0,0,0.4623176431204258,0,0,0,0.4645516552696818,0,0,0,0.5935039241958338,0,0,0,0.3773454854730654,0,0.3968373494579515,0,0.5497666009041856,0,ZNF251,RandomForestClassifier,mono,10263,1026300,1026300,20473
17,34,0.8956597741610302,0,0.9301013734863744,0,0.9131084034663016,0,0.9537039054370448,0,0,0,0.9535646642723676,0,0,0,0.9350149229516064,0,0,0,0.7600083099603373,0,0,0,0.7667976274401357,0,0,0,0.3941222233713226,0,0,0,0.6562780116953343,0,0.7328396170532746,0,0.3462143555565962,0,ZNF493,RandomForestClassifier,mono,406,40600,40600,779
18,23,0.7516144202242215,0,0.7431217321349833,0,0.7344159899785563,0,0.7795836076729343,0,0,0,0.7558592940353857,0,0,0,0.7094546882961045,0,0,0,0.0967361131230704,0,0,0,0.0805731183180788,0,0,0,0.3373667965998577,0,0,0,0.0488326776579147,0,0.0544065827843923,0,0.2407346883252122,0,VDR,RandomForestClassifier,mono,3113,311300,311300,6183
19,20,0.880264405657228,0,0.8869033205569167,0,0.6426613615750297,0,0.926711369823232,0,0,0,0.922559848122754,0,0,0,0.6570317614832886,0,0,0,0.5196756960877473,0,0,0,0.4815899711642736,0,0,0,0.184545042457926,0,0,0,0.2991891689092597,0,0.3538565827746481,0,0.10937015299072,0,ZNF322,RandomForestClassifier,mono,1093,109300,109300,2078
20,33,0.8072895080601898,0,0.8056741947610191,0,0.9398421843035982,0,0.8475144037792386,0,0,0,0.8425098220444354,0,0,0,0.9722723425991956,0,0,0,0.3753054157414384,0,0,0,0.366111373875748,0,0,0,0.7277825833391861,0,0,0,0.2151607140428434,0,0.2221743671375643,0,0.4992354148776299,0,NACC2,RandomForestClassifier,mono,5757,575700,575700,11427
21,25,0.8618025283699793,0,0.8583681521975759,0,0.6501832770595537,0,0.8735813700532088,0,0,0,0.8688529492304327,0,0,0,0.6577289817618149,0,0,0,0.2815777151246257,0,0,0,0.2731871278584972,0,0,0,0.1436518836033488,0,0,0,0.1899166920932206,0,0.1996079034867,0,0.1564102729298251,0,ZNF107,RandomForestClassifier,mono,19572,1957200,1558005,38805
22,27,0.7829299134920569,0,0.7717878941402088,0,0.7173716940245946,0,0.8164629804593756,0,0,0,0.7957745063979436,0,0,0,0.7849960824008001,0,0,0,0.0859813567993727,0,0,0,0.0562616965399914,0,0,0,0.0649457096323413,0,0,0,0.0473083084507284,0,0.0391385552024712,0,0.0336967108396755,0,ZNF648,RandomForestClassifier,mono,6091,609100,609100,12126
