Count,roc_auc_train_H_PWM,roc_auc_train_H_PWM_di,roc_auc_test_H_PWM,roc_auc_test_H_PWM_di,roc_auc_test_M_PWM,roc_auc_test_M_PWM_di,roc_auc_train_H,mean_auc_train_H,median_auc_train_H,std_auc_train_H,roc_auc_test_H,mean_auc_test_H,median_auc_test_H,std_auc_test_H,roc_auc_test_M,mean_auc_test_M,median_auc_test_M,std_auc_test_M,pr_auc_train_H,mean_pr_auc_train_H,median_pr_auc_train_H,std_pr_auc_train_H,pr_auc_test_H,mean_pr_auc_test_H,median_pr_auc_test_H,std_pr_auc_test_H,pr_auc_test_M,mean_pr_auc_test_M,median_pr_auc_test_M,std_pr_auc_test_M,pr_auc_train_H_PWM,pr_auc_train_H_PWM_di,pr_auc_test_H_PWM,pr_auc_test_H_PWM_di,pr_auc_test_M_PWM,pr_auc_test_M_PWM_di,TF_name,Model,PWM,PR_delta_M,ROC_delta_M,dLR
2,0.8764292839003428,0.0,0.8849135465586939,0.0,0.8204416325219048,0.0,0.8942041880349143,0.0,0.0,0.0,0.9037629366535812,0.0,0.0,0.0,0.8111549230093292,0.0,0.0,0.0,0.5150953336088682,0.0,0.0,0.0,0.5325932473076085,0.0,0.0,0.0,0.3853788394892525,0.0,0.0,0.0,0.492214648741447,0.0,0.5276358765933401,0.0,0.3871261250908788,0.0,ZNF724,RandomForestClassifier,2,-0.0017472856016262917,-0.009286709512575597,-0.009286709512575597
4,0.8764292839003428,0.0,0.8849135465586939,0.0,0.8204416325219048,0.0,0.89960990797693,0.0,0.0,0.0,0.906883749694944,0.0,0.0,0.0,0.8019996318308289,0.0,0.0,0.0,0.5437854914410722,0.0,0.0,0.0,0.550441982998484,0.0,0.0,0.0,0.4018109105338236,0.0,0.0,0.0,0.492214648741447,0.0,0.5276358765933401,0.0,0.3871261250908788,0.0,ZNF724,RandomForestClassifier,4,0.014684785442944825,-0.018442000691075933,-0.018442000691075933
8,0.8764292839003428,0.0,0.8849135465586939,0.0,0.8204416325219048,0.0,0.9037565153589115,0.0,0.0,0.0,0.9130451736109124,0.0,0.0,0.0,0.8046870003759626,0.0,0.0,0.0,0.559082393731795,0.0,0.0,0.0,0.5654194061050218,0.0,0.0,0.0,0.4064270911445621,0.0,0.0,0.0,0.492214648741447,0.0,0.5276358765933401,0.0,0.3871261250908788,0.0,ZNF724,RandomForestClassifier,8,0.01930096605368331,-0.015754632145942193,-0.015754632145942193
16,0.8764292839003428,0.0,0.8849135465586939,0.0,0.8204416325219048,0.0,0.9118331648580168,0.0,0.0,0.0,0.919202677058392,0.0,0.0,0.0,0.8102790576937502,0.0,0.0,0.0,0.58171551324755,0.0,0.0,0.0,0.5891373350156385,0.0,0.0,0.0,0.422272932260349,0.0,0.0,0.0,0.492214648741447,0.0,0.5276358765933401,0.0,0.3871261250908788,0.0,ZNF724,RandomForestClassifier,16,0.03514680716947022,-0.010162574828154636,-0.010162574828154636
all,0.8764292839003428,0.0,0.8849135465586939,0.0,0.8204416325219048,0.0,0.9212093058257876,0.0,0.0,0.0,0.9283382290554254,0.0,0.0,0.0,0.8132367855331772,0.0,0.0,0.0,0.5858364163659648,0.0,0.0,0.0,0.5955559495967904,0.0,0.0,0.0,0.4297535110898608,0.0,0.0,0.0,0.492214648741447,0.0,0.5276358765933401,0.0,0.3871261250908788,0.0,ZNF724,RandomForestClassifier,all,0.042627385998982026,-0.007204846988727587,-0.007204846988727587
2,0.9018858623721596,0.0,0.8880778668832148,0.0,0.7655231774567778,0.0,0.9315610347540376,0.0,0.0,0.0,0.9106207081193118,0.0,0.0,0.0,0.7603632698457964,0.0,0.0,0.0,0.6664378931639978,0.0,0.0,0.0,0.6162096397124653,0.0,0.0,0.0,0.055696267781439,0.0,0.0,0.0,0.5300692044043891,0.0,0.5427513639228406,0.0,0.0657941068028915,0.0,ZNF676,RandomForestClassifier,2,-0.010097839021452497,-0.005159907610981396,-0.005159907610981396
4,0.9018858623721596,0.0,0.8880778668832148,0.0,0.7655231774567778,0.0,0.9344601138414548,0.0,0.0,0.0,0.9055640415531178,0.0,0.0,0.0,0.7580635715899369,0.0,0.0,0.0,0.6921315243984681,0.0,0.0,0.0,0.6269939567560064,0.0,0.0,0.0,0.0550401736115628,0.0,0.0,0.0,0.5489080082169094,0.0,0.5490903687668983,0.0,0.0627892648411336,0.0,ZNF676,RandomForestClassifier,4,-0.007749091229570806,-0.007459605866840913,-0.007459605866840913
8,0.9018858623721596,0.0,0.8880778668832148,0.0,0.7655231774567778,0.0,0.935131491508168,0.0,0.0,0.0,0.9163068239240711,0.0,0.0,0.0,0.7495023264165289,0.0,0.0,0.0,0.7249190972239377,0.0,0.0,0.0,0.668174688050279,0.0,0.0,0.0,0.0528264009152703,0.0,0.0,0.0,0.5489080082169094,0.0,0.5490903687668983,0.0,0.0627892648411336,0.0,ZNF676,RandomForestClassifier,8,-0.009962863925863305,-0.016020851040248862,-0.016020851040248862
16,0.9018858623721596,0.0,0.8880778668832148,0.0,0.7655231774567778,0.0,0.9402466379749178,0.0,0.0,0.0,0.907616334013592,0.0,0.0,0.0,0.7235865131906918,0.0,0.0,0.0,0.7363248487665344,0.0,0.0,0.0,0.6653066638542583,0.0,0.0,0.0,0.0557555425926887,0.0,0.0,0.0,0.5489080082169094,0.0,0.5490903687668983,0.0,0.0627892648411336,0.0,ZNF676,RandomForestClassifier,16,-0.007033722248444903,-0.041936664266086,-0.041936664266086
all,0.9018858623721596,0.0,0.8880778668832148,0.0,0.7655231774567778,0.0,0.9383304826692582,0.0,0.0,0.0,0.9095220487197718,0.0,0.0,0.0,0.7151294459553484,0.0,0.0,0.0,0.7372490292304881,0.0,0.0,0.0,0.6637825458129395,0.0,0.0,0.0,0.05456384462096,0.0,0.0,0.0,0.5489080082169094,0.0,0.5490903687668983,0.0,0.0627892648411336,0.0,ZNF676,RandomForestClassifier,all,-0.008225420220173606,-0.05039373150142934,-0.05039373150142934
