,Count,roc_auc_train_H_PWM,roc_auc_train_H_PWM_di,roc_auc_test_H_PWM,roc_auc_test_H_PWM_di,roc_auc_test_M_PWM,roc_auc_test_M_PWM_di,roc_auc_train_H,mean_auc_train_H,median_auc_train_H,std_auc_train_H,roc_auc_test_H,mean_auc_test_H,median_auc_test_H,std_auc_test_H,roc_auc_test_M,mean_auc_test_M,median_auc_test_M,std_auc_test_M,pr_auc_train_H,mean_pr_auc_train_H,median_pr_auc_train_H,std_pr_auc_train_H,pr_auc_test_H,mean_pr_auc_test_H,median_pr_auc_test_H,std_pr_auc_test_H,pr_auc_test_M,mean_pr_auc_test_M,median_pr_auc_test_M,std_pr_auc_test_M,pr_auc_train_H_PWM,pr_auc_train_H_PWM_di,pr_auc_test_H_PWM,pr_auc_test_H_PWM_di,pr_auc_test_M_PWM,pr_auc_test_M_PWM_di,TF_name,Model,PWM,Seq_count_positives,Seq_count_random,Seq_count_alien,Seq_count_shades
0,34,0.757104507742292,0,0.7154482197517801,0,0.9385344598739754,0,0.798745998906446,0,0,0,0.7411602015152821,0,0,0,0.931057403736581,0,0,0,0.0615329442265308,0,0,0,0.5847869485490325,0,0,0,0.8551400905244803,0,0,0,0.0354216412120902,0,0.5550173179035185,0,0.8514049855885248,0,LEUTX,RandomForestClassifier,mono,2706,270600,270600,5377
1,28,0.8994780609377382,0,0.9291245485691366,0,0.7952309462559745,0,0.9601894135326168,0,0,0,0.9491092619038228,0,0,0,0.8587347944545247,0,0,0,0.4294922258517145,0,0,0,0.9201164141503296,0,0,0,0.7346944882491815,0,0,0,0.1810712090228823,0,0.860650357562286,0,0.6672005403082,0,FBXL19,RandomForestClassifier,mono,5258,525800,525800,10443
2,42,0.8136210230207166,0,0.8093294695578139,0,0.8644886188340516,0,0.8357479846672584,0,0,0,0.823338158861611,0,0,0,0.8692102844560781,0,0,0,0.1514216141426592,0,0,0,0.7366387197794144,0,0,0,0.8088253940033941,0,0,0,0.0828406628878511,0,0.709084302660184,0,0.8143276030036253,0,ZBED5,RandomForestClassifier,mono,21703,2170300,1377670,42931
3,38,0.8444495560609147,0,0.8254822906689473,0,0.8243819653682797,0,0.8571345148930337,0,0,0,0.8373353648705886,0,0,0,0.8078919664573275,0,0,0,0.2392323550847134,0,0,0,0.7606853002694433,0,0,0,0.7843688208560246,0,0,0,0.1804497688597017,0,0.7189268326014947,0,0.762396480322788,0,ZFAT,RandomForestClassifier,mono,12101,1210100,1210100,23412
4,25,0.7238499775352232,0,0.7354286959189983,0,0.7647244841489446,0,0.7650117692561187,0,0,0,0.7591781030852409,0,0,0,0.8325855798877382,0,0,0,0.1144510124292328,0,0,0,0.6339765491296107,0,0,0,0.8311911225087861,0,0,0,0.0610840872448309,0,0.4864269726290621,0,0.8180542039372467,0,ZSCAN2,RandomForestClassifier,mono,8853,885300,885300,17349
5,26,0.7103722248199786,0,0.7342253463023086,0,0.9775501609083568,0,0.7510799743788577,0,0,0,0.7709746764348991,0,0,0,0.9896371486791254,0,0,0,0.0669432370311775,0,0,0,0.6705484222669894,0,0,0,0.9831369865706338,0,0,0,0.0505394202597838,0,0.6270967708732198,0,0.9805850900367692,0,LEF1,RandomForestClassifier,mono,12304,1230400,1230400,24524
6,23,0.8880693944449531,0,0.944738115329293,0,0.9365212289471716,0,0.9249508564221288,0,0,0,0.946000860739636,0,0,0,0.9451953651810766,0,0,0,0.175363722388801,0,0,0,0.8887784319221306,0,0,0,0.8971920024384034,0,0,0,0.0700461422880681,0,0.8743120995937681,0,0.87281254004213,0,ZNF395,RandomForestClassifier,mono,1357,135700,135700,2702
7,22,0.942862531061362,0,0.9432559449842932,0,0.9154325585880524,0,0.9479795986349348,0,0,0,0.9483486409069878,0,0,0,0.9232094764998376,0,0,0,0.4338213280304951,0,0,0,0.9265915094555174,0,0,0,0.8896680421615597,0,0,0,0.3998731455377198,0,0.9187067186119988,0,0.8914638855578312,0,ZFTA,RandomForestClassifier,mono,29213,2921300,1347065,58100
8,25,0.9070199268140527,0,0.919196747841108,0,0.9061409713568715,0,0.9224607855061988,0,0,0,0.9316403712752764,0,0,0,0.915151493877434,0,0,0,0.2706450527320303,0,0,0,0.9006189173395736,0,0,0,0.909868711786192,0,0,0,0.2301789566061231,0,0.8583396469880707,0,0.8897726013462711,0,FOSL2,RandomForestClassifier,mono,30492,3049200,1335576,60709
9,26,0.7342320884584986,0,0.7632613054132323,0,0.7578206250438206,0,0.8729549727212038,0,0,0,0.8769792826910225,0,0,0,0.8895959317830586,0,0,0,0.5230089420155304,0,0,0,0.8522829385673852,0,0,0,0.8601363066559107,0,0,0,0.3138551966322302,0,0.7401752814150397,0,0.7208752854732796,0,ZNF226,RandomForestClassifier,mono,335,33500,33500,670
