Count,roc_auc_train_H_PWM,roc_auc_train_H_PWM_di,roc_auc_test_H_PWM,roc_auc_test_H_PWM_di,roc_auc_test_M_PWM,roc_auc_test_M_PWM_di,roc_auc_train_H,mean_auc_train_H,median_auc_train_H,std_auc_train_H,roc_auc_test_H,mean_auc_test_H,median_auc_test_H,std_auc_test_H,roc_auc_test_M,mean_auc_test_M,median_auc_test_M,std_auc_test_M,pr_auc_train_H,mean_pr_auc_train_H,median_pr_auc_train_H,std_pr_auc_train_H,pr_auc_test_H,mean_pr_auc_test_H,median_pr_auc_test_H,std_pr_auc_test_H,pr_auc_test_M,mean_pr_auc_test_M,median_pr_auc_test_M,std_pr_auc_test_M,pr_auc_train_H_PWM,pr_auc_train_H_PWM_di,pr_auc_test_H_PWM,pr_auc_test_H_PWM_di,pr_auc_test_M_PWM,pr_auc_test_M_PWM_di,TF_name,Model,PWM,PR_delta_H,ROC_delta_H,dLR
2,0.6663752366707377,0.0,0.6705306978467578,0.0,0.570356511672129,0.0,0.7102293775396781,0.0,0.0,0.0,0.7072740612323056,0.0,0.0,0.0,0.6635407461885214,0.0,0.0,0.0,0.0532585302956788,0.0,0.0,0.0,0.0355370059196449,0.0,0.0,0.0,0.0194709504978925,0.0,0.0,0.0,0.0258340837400518,0.0,0.0284626485425275,0.0,0.0268112355062663,0.0,ZNF66,RandomForestClassifier,2,0.0070743573771174,0.036743363385547845,0.036743363385547845
4,0.6663752366707377,0.0,0.6705306978467578,0.0,0.570356511672129,0.0,0.7220989270146009,0.0,0.0,0.0,0.7226803334270953,0.0,0.0,0.0,0.6477265354973658,0.0,0.0,0.0,0.0645409333643239,0.0,0.0,0.0,0.043190036995265,0.0,0.0,0.0,0.0173156145396964,0.0,0.0,0.0,0.0258340837400518,0.0,0.0284626485425275,0.0,0.0268112355062663,0.0,ZNF66,RandomForestClassifier,4,0.014727388452737505,0.05214963558033747,0.05214963558033747
8,0.6663752366707377,0.0,0.6705306978467578,0.0,0.570356511672129,0.0,0.7331844393334802,0.0,0.0,0.0,0.7376075288489151,0.0,0.0,0.0,0.6886715053522892,0.0,0.0,0.0,0.081705424400977,0.0,0.0,0.0,0.0493981817246195,0.0,0.0,0.0,0.0333510837571469,0.0,0.0,0.0,0.0258340837400518,0.0,0.0284626485425275,0.0,0.0268112355062663,0.0,ZNF66,RandomForestClassifier,8,0.020935533182092004,0.06707683100215733,0.06707683100215733
16,0.6663752366707377,0.0,0.6705306978467578,0.0,0.570356511672129,0.0,0.7409647367369624,0.0,0.0,0.0,0.7419765664507569,0.0,0.0,0.0,0.6902753464726346,0.0,0.0,0.0,0.0936205644343182,0.0,0.0,0.0,0.0519038291807551,0.0,0.0,0.0,0.0300914994918914,0.0,0.0,0.0,0.0258340837400518,0.0,0.0284626485425275,0.0,0.0268112355062663,0.0,ZNF66,RandomForestClassifier,16,0.023441180638227598,0.07144586860399915,0.07144586860399915
all,0.6663752366707377,0.0,0.6705306978467578,0.0,0.570356511672129,0.0,0.7457894538187465,0.0,0.0,0.0,0.7435401105239321,0.0,0.0,0.0,0.7154161586559434,0.0,0.0,0.0,0.0949039806384444,0.0,0.0,0.0,0.0519253583941331,0.0,0.0,0.0,0.0328397890431591,0.0,0.0,0.0,0.0258340837400518,0.0,0.0284626485425275,0.0,0.0268112355062663,0.0,ZNF66,RandomForestClassifier,all,0.0234627098516056,0.07300941267717431,0.07300941267717431
2,0.7786542787076034,0.0,0.773856005501101,0.0,0.6384128132410302,0.0,0.8197571240329913,0.0,0.0,0.0,0.8139441155191445,0.0,0.0,0.0,0.6634957262281224,0.0,0.0,0.0,0.0820596096659627,0.0,0.0,0.0,0.0733761785985382,0.0,0.0,0.0,0.2711720730366461,0.0,0.0,0.0,0.0604200790585616,0.0,0.0586564816479965,0.0,0.1375392208815863,0.0,TIGD4,RandomForestClassifier,2,0.014719696950541705,0.040088110018043466,0.040088110018043466
4,0.7786542787076034,0.0,0.773856005501101,0.0,0.6384128132410302,0.0,0.8230045233464154,0.0,0.0,0.0,0.8166122226936955,0.0,0.0,0.0,0.6575288255078349,0.0,0.0,0.0,0.0874742136635818,0.0,0.0,0.0,0.0775973703024279,0.0,0.0,0.0,0.2731362163456569,0.0,0.0,0.0,0.0604200790585616,0.0,0.0586564816479965,0.0,0.1375392208815863,0.0,TIGD4,RandomForestClassifier,4,0.0189408886544314,0.04275621719259448,0.04275621719259448
8,0.7786542787076034,0.0,0.773856005501101,0.0,0.6384128132410302,0.0,0.8253226715012576,0.0,0.0,0.0,0.818662624553728,0.0,0.0,0.0,0.6565457014275569,0.0,0.0,0.0,0.0950898797982096,0.0,0.0,0.0,0.0842774926215183,0.0,0.0,0.0,0.3026211763008412,0.0,0.0,0.0,0.0604200790585616,0.0,0.0586564816479965,0.0,0.1375392208815863,0.0,TIGD4,RandomForestClassifier,8,0.025621010973521804,0.04480661905262695,0.04480661905262695
16,0.7786542787076034,0.0,0.773856005501101,0.0,0.6384128132410302,0.0,0.8303490527960791,0.0,0.0,0.0,0.8234624028854258,0.0,0.0,0.0,0.6595957013451629,0.0,0.0,0.0,0.0972778270158964,0.0,0.0,0.0,0.0865207174893641,0.0,0.0,0.0,0.3034385463893916,0.0,0.0,0.0,0.0604200790585616,0.0,0.0586564816479965,0.0,0.1375392208815863,0.0,TIGD4,RandomForestClassifier,16,0.0278642358413676,0.04960639738432482,0.04960639738432482
all,0.7786542787076034,0.0,0.773856005501101,0.0,0.6384128132410302,0.0,0.8314931435738088,0.0,0.0,0.0,0.8245580348198285,0.0,0.0,0.0,0.6469170919565421,0.0,0.0,0.0,0.0963565019932083,0.0,0.0,0.0,0.08655390027411,0.0,0.0,0.0,0.3039857455300676,0.0,0.0,0.0,0.0604200790585616,0.0,0.0586564816479965,0.0,0.1375392208815863,0.0,TIGD4,RandomForestClassifier,all,0.0278974186261135,0.05070202931872747,0.05070202931872747
