,Count,roc_auc_train_H_PWM,roc_auc_train_H_PWM_di,roc_auc_test_H_PWM,roc_auc_test_H_PWM_di,roc_auc_test_M_PWM,roc_auc_test_M_PWM_di,roc_auc_train_H,mean_auc_train_H,median_auc_train_H,std_auc_train_H,roc_auc_test_H,mean_auc_test_H,median_auc_test_H,std_auc_test_H,roc_auc_test_M,mean_auc_test_M,median_auc_test_M,std_auc_test_M,pr_auc_train_H,mean_pr_auc_train_H,median_pr_auc_train_H,std_pr_auc_train_H,pr_auc_test_H,mean_pr_auc_test_H,median_pr_auc_test_H,std_pr_auc_test_H,pr_auc_test_M,mean_pr_auc_test_M,median_pr_auc_test_M,std_pr_auc_test_M,pr_auc_train_H_PWM,pr_auc_train_H_PWM_di,pr_auc_test_H_PWM,pr_auc_test_H_PWM_di,pr_auc_test_M_PWM,pr_auc_test_M_PWM_di,TF_name,Model,PWM,Seq_count,PR_delta_M,ROC_delta_M
0,34,0.757104507742292,0,0.7578508606971778,0,0.9381168731249064,0,0.7720895857753499,0,0,0,0.7732454083586392,0,0,0,0.9345596983186026,0,0,0,0.0386430913079266,0,0,0,0.0375891230405777,0,0,0,0.1108133792346857,0,0,0,0.0354216412120902,0,0.0335157907709824,0,0.1131349572159646,0,LEUTX,LogisticRegression,mono,,-0.1131349572159646,-0.9381168731249064
1,28,0.8994780609377382,0,0.9003453971712362,0,0.8510330373107092,0,0.9547242850746837,0,0,0,0.9545139247683728,0,0,0,0.9266951749168776,0,0,0,0.4106904969627574,0,0,0,0.423609988585595,0,0,0,0.2535761632620194,0,0,0,0.1810712090228823,0,0.1858181262071431,0,0.1214462630341459,0,FBXL19,LogisticRegression,mono,5258.0,-0.1214462630341459,-0.8510330373107092
9,42,0.8136210230207166,0,0.8106163828418665,0,0.8362578446455665,0,0.8282380655310149,0,0,0,0.8231308610900814,0,0,0,0.8273027957856316,0,0,0,0.121441624619574,0,0,0,0.1206298212321695,0,0,0,0.1199427963853133,0,0,0,0.0828406628878511,0,0.0827745586985445,0,0.1452441000512668,0,ZBED5,LogisticRegression,mono,,-0.1452441000512668,-0.8362578446455665
10,38,0.8444495560609147,0,0.8391806092143733,0,0.8396080018066168,0,0.8536464182077002,0,0,0,0.8488458733421164,0,0,0,0.8305073581994052,0,0,0,0.1996360391897344,0,0,0,0.1879235102580088,0,0,0,0.5372695939179388,0,0,0,0.1804497688597017,0,0.1719199304877075,0,0.3719594326528952,0,ZFAT,LogisticRegression,mono,12101.0,-0.3719594326528952,-0.8396080018066168
18,25,0.7238499775352232,0,0.7036182074196068,0,0.7690622250401118,0,0.7612821994912533,0,0,0,0.7425767670908943,0,0,0,0.7775934216655453,0,0,0,0.0649963804437582,0,0,0,0.0520526853435872,0,0,0,0.4181082343908471,0,0,0,0.0610840872448309,0,0.0449741167299677,0,0.6380353874258613,0,ZSCAN2,LogisticRegression,mono,,-0.6380353874258613,-0.7690622250401118
19,26,0.7103722248199786,0,0.720507329404913,0,0.9771806825128008,0,0.7168822887100132,0,0,0,0.7257846143261052,0,0,0,0.9856197650789912,0,0,0,0.0523935536344546,0,0,0,0.0537946054724118,0,0,0,0.6413493187130773,0,0,0,0.0505394202597838,0,0.0520742641611325,0,0.693170493618825,0,LEF1,LogisticRegression,mono,12304.0,-0.693170493618825,-0.9771806825128008
27,23,0.8880693944449531,0,0.8791291531831726,0,0.9708840930851064,0,0.9028592236899338,0,0,0,0.8934627296221614,0,0,0,0.976254431133996,0,0,0,0.0929380789192461,0,0,0,0.0879809730328904,0,0,0,0.4238702442693036,0,0,0,0.0700461422880681,0,0.0701022203217935,0,0.3567919157604777,0,ZNF395,LogisticRegression,mono,,-0.3567919157604777,-0.9708840930851064
28,22,0.942862531061362,0,0.944355925695558,0,0.9074127761689053,0,0.9465459865973076,0,0,0,0.9483153109350382,0,0,0,0.9163005316179802,0,0,0,0.4149864730887125,0,0,0,0.4359831109434242,0,0,0,0.2140377858078212,0,0,0,0.3998731455377198,0,0.4179926477788004,0,0.2229438907471569,0,ZFTA,LogisticRegression,mono,29213.0,-0.2229438907471569,-0.9074127761689053
36,25,0.9070199268140527,0,0.9105316250244428,0,0.8996819590843265,0,0.910581182610503,0,0,0,0.9161689393201572,0,0,0,0.8976025718164601,0,0,0,0.2382539429974456,0,0,0,0.2414270973409031,0,0,0,0.4771101246568012,0,0,0,0.2301789566061231,0,0.233201050113546,0,0.4863440377664903,0,FOSL2,LogisticRegression,mono,,-0.4863440377664903,-0.8996819590843265
37,26,0.7342320884584986,0,0.768749654711517,0,0.7574074501067775,0,0.7972930686535554,0,0,0,0.8228945422143017,0,0,0,0.842273707013562,0,0,0,0.381037629209045,0,0,0,0.4022920561256956,0,0,0,0.2252064688094337,0,0,0,0.3138551966322302,0,0.3131116050341044,0,0.1843015078021187,0,ZNF226,LogisticRegression,mono,,-0.1843015078021187,-0.7574074501067775
