,Count,roc_auc_train_H_PWM,roc_auc_train_H_PWM_di,roc_auc_test_H_PWM,roc_auc_test_H_PWM_di,roc_auc_test_M_PWM,roc_auc_test_M_PWM_di,roc_auc_train_H,mean_auc_train_H,median_auc_train_H,std_auc_train_H,roc_auc_test_H,mean_auc_test_H,median_auc_test_H,std_auc_test_H,roc_auc_test_M,mean_auc_test_M,median_auc_test_M,std_auc_test_M,pr_auc_train_H,mean_pr_auc_train_H,median_pr_auc_train_H,std_pr_auc_train_H,pr_auc_test_H,mean_pr_auc_test_H,median_pr_auc_test_H,std_pr_auc_test_H,pr_auc_test_M,mean_pr_auc_test_M,median_pr_auc_test_M,std_pr_auc_test_M,pr_auc_train_H_PWM,pr_auc_train_H_PWM_di,pr_auc_test_H_PWM,pr_auc_test_H_PWM_di,pr_auc_test_M_PWM,pr_auc_test_M_PWM_di,TF_name,Model,PWM,Seq_count,PR_delta_M,ROC_delta_M
0,34,0.9578524578746018,0,0.9693119891344444,0,0.7697696681814631,0,0.9652723803311896,0,0,0,0.9742038672383188,0,0,0,0.762515693547885,0,0,0,0.2482357756172383,0,0,0,0.3574400179608288,0,0,0,0.0399170163481563,0,0,0,0.1815861661366319,0,0.2752145535349554,0,0.0424887064066675,0,LEUTX,LogisticRegression,mono,7223,-0.0424887064066675,-0.7697696681814631
8,20,0.9448462387849051,0,0.941943105219478,0,0.8979605948500508,0,0.9755846427622554,0,0,0,0.9639580281359428,0,0,0,0.918887081591767,0,0,0,0.3532342510199944,0,0,0,0.2512619558416979,0,0,0,0.1032408374104945,0,0,0,0.1712454895106966,0,0.1665274657845314,0,0.0860451927882725,0,FBXL19,LogisticRegression,mono,6182,-0.0860451927882725,-0.8979605948500508
16,40,0.8660992644316604,0,0.8735031777525492,0,0.835817829303437,0,0.8859018496330093,0,0,0,0.8945211535400905,0,0,0,0.8083573674371135,0,0,0,0.212085065617343,0,0,0,0.2222538191176513,0,0,0,0.1434136921555975,0,0,0,0.193064833934855,0,0.2122779175120913,0,0.1231105761579986,0,ZBED5,LogisticRegression,mono,1535,-0.1231105761579986,-0.835817829303437
24,20,0.890119359027438,0,0.8832400071511912,0,0.7842213867442074,0,0.8804068651435883,0,0,0,0.8760973314765328,0,0,0,0.8017681286081523,0,0,0,0.7163466054803718,0,0,0,0.6682958106897003,0,0,0,0.1277059298827135,0,0,0,0.6741265801410297,0,0.5952595536288863,0,0.0792476272668236,0,ZFAT,LogisticRegression,mono,326,-0.0792476272668236,-0.7842213867442074
32,26,0.8767678705497323,0,0.7990760053827441,0,0.521958916772181,0,0.8832965268934507,0,0,0,0.819035117229957,0,0,0,0.503348322307773,0,0,0,0.776232155203579,0,0,0,0.6657005128346878,0,0,0,0.045974583567796,0,0,0,0.7538585216621014,0,0.6434172335981679,0,0.0440744173872459,0,ZSCAN2,LogisticRegression,mono,278,-0.0440744173872459,-0.521958916772181
40,34,0.987980052579342,0,0.9919696567814488,0,0.7088509019739,0,0.9896151504344254,0,0,0,0.9926247135509136,0,0,0,0.728506110929914,0,0,0,0.7583380370818246,0,0,0,0.8342134048081103,0,0,0,0.0663352546028762,0,0,0,0.7451025251762594,0,0.8215715297988777,0,0.0594496338038613,0,LEF1,LogisticRegression,mono,5752,-0.0594496338038613,-0.7088509019739
48,35,0.9639756064358244,0,0.9692082859973608,0,0.6827371135448226,0,0.9776904277156826,0,0,0,0.98018732398183,0,0,0,0.661059144184824,0,0,0,0.4556669132889928,0,0,0,0.5756372519476353,0,0,0,0.0220282892458263,0,0,0,0.3260956610452029,0,0.4803090078016054,0,0.0216298972439679,0,ZNF395,LogisticRegression,mono,9400,-0.0216298972439679,-0.6827371135448226
56,39,0.9124521084601868,0,0.928637770050918,0,0.9451276649408196,0,0.9228890749437688,0,0,0,0.9355384956331247,0,0,0,0.9453965301986488,0,0,0,0.2923722926342498,0,0,0,0.3577262698884571,0,0,0,0.5870077029035227,0,0,0,0.2694730259309435,0,0.3362085527353166,0,0.5563139992608946,0,ZFTA,LogisticRegression,mono,2326,-0.5563139992608946,-0.9451276649408196
64,20,0.972409305579106,0,0.9691409966705332,0,0.8560481166020155,0,0.9730571623186712,0,0,0,0.9704733954252156,0,0,0,0.8707849178378543,0,0,0,0.530522545065808,0,0,0,0.5431073486974147,0,0,0,0.2385786698238713,0,0,0,0.4245752249005141,0,0.447624958307131,0,0.1783327202232397,0,FOSL2,LogisticRegression,mono,4532,-0.1783327202232397,-0.8560481166020155
72,22,0.7876623523653333,0,0.788768887412093,0,0.7604089997772332,0,0.7958648576621201,0,0,0,0.7949633409718103,0,0,0,0.7570323902873691,0,0,0,0.3222611511400023,0,0,0,0.3341377851743638,0,0,0,0.3045091097266322,0,0,0,0.3011296377460199,0,0.3122487273692759,0,0.2992223797497741,0,ZNF226,LogisticRegression,mono,4429,-0.2992223797497741,-0.7604089997772332
