,Count,roc_auc_train_H_PWM,roc_auc_train_H_PWM_di,roc_auc_test_H_PWM,roc_auc_test_H_PWM_di,roc_auc_test_M_PWM,roc_auc_test_M_PWM_di,roc_auc_train_H,mean_auc_train_H,median_auc_train_H,std_auc_train_H,roc_auc_test_H,mean_auc_test_H,median_auc_test_H,std_auc_test_H,roc_auc_test_M,mean_auc_test_M,median_auc_test_M,std_auc_test_M,pr_auc_train_H,mean_pr_auc_train_H,median_pr_auc_train_H,std_pr_auc_train_H,pr_auc_test_H,mean_pr_auc_test_H,median_pr_auc_test_H,std_pr_auc_test_H,pr_auc_test_M,mean_pr_auc_test_M,median_pr_auc_test_M,std_pr_auc_test_M,pr_auc_train_H_PWM,pr_auc_train_H_PWM_di,pr_auc_test_H_PWM,pr_auc_test_H_PWM_di,pr_auc_test_M_PWM,pr_auc_test_M_PWM_di,TF_name,Model,PWM,Seq_count,PR_delta_M,ROC_delta_M
0,34,0.9578524578746018,0,0.9621570843086084,0,0.7358193331455691,0,0.9652723803311896,0,0,0,0.968994618633038,0,0,0,0.7313516165661935,0,0,0,0.2482357756172383,0,0,0,0.9328580771289422,0,0,0,0.5856089227540507,0,0,0,0.1815861661366319,0,0.9141757285186622,0,0.6056068859458166,0,LEUTX,LogisticRegression,mono,7223,-0.6056068859458166,-0.7358193331455691
8,20,0.9448462387849051,0,0.8831161481668162,0,0.935438525215786,0,0.9755846427622554,0,0,0,0.9244051404795774,0,0,0,0.9509331152573188,0,0,0,0.3532342510199944,0,0,0,0.8373765882941361,0,0,0,0.904086935332432,0,0,0,0.1712454895106966,0,0.7543440961522763,0,0.8692472631837552,0,FBXL19,LogisticRegression,mono,6182,-0.8692472631837552,-0.935438525215786
16,40,0.8660992644316604,0,0.8949387451110296,0,0.7966654541320737,0,0.8859018496330093,0,0,0,0.9102421292041356,0,0,0,0.7738505603995935,0,0,0,0.212085065617343,0,0,0,0.8701275527297518,0,0,0,0.6739146754932834,0,0,0,0.193064833934855,0,0.8575687819533802,0,0.6489842144202644,0,ZBED5,LogisticRegression,mono,1535,-0.6489842144202644,-0.7966654541320737
24,20,0.890119359027438,0,0.876232741617357,0,0.777813437948014,0,0.8804068651435883,0,0,0,0.8640263307559202,0,0,0,0.7881805919122572,0,0,0,0.7163466054803718,0,0,0,0.8799519271664887,0,0,0,0.6934259696854069,0,0,0,0.6741265801410297,0,0.8876361449731771,0,0.6771726534901734,0,ZFAT,LogisticRegression,mono,326,-0.6771726534901734,-0.777813437948014
32,26,0.8767678705497323,0,0.7961597754763222,0,0.53335556840399,0,0.8832965268934507,0,0,0,0.8163095896908846,0,0,0,0.5052068094983644,0,0,0,0.776232155203579,0,0,0,0.8451312640934325,0,0,0,0.4086776953268144,0,0,0,0.7538585216621014,0,0.8327369639585163,0,0.4181844280692883,0,ZSCAN2,LogisticRegression,mono,278,-0.4181844280692883,-0.53335556840399
40,34,0.987980052579342,0,0.989075215069117,0,0.6930780957599137,0,0.9896151504344254,0,0,0,0.9902739587039314,0,0,0,0.7157310398041121,0,0,0,0.7583380370818246,0,0,0,0.9854794849443008,0,0,0,0.6382740534282229,0,0,0,0.7451025251762594,0,0.9833723663590436,0,0.6216452440819342,0,LEF1,LogisticRegression,mono,5752,-0.6216452440819342,-0.6930780957599137
48,35,0.9639756064358244,0,0.9347096332145536,0,0.9350613399719742,0,0.9776904277156826,0,0,0,0.9505349366575552,0,0,0,0.9496950047100676,0,0,0,0.4556669132889928,0,0,0,0.901482742631615,0,0,0,0.8880329032936994,0,0,0,0.3260956610452029,0,0.8637505319893823,0,0.8502220848246264,0,ZNF395,LogisticRegression,mono,9400,-0.8502220848246264,-0.9350613399719742
56,39,0.9124521084601868,0,0.9261716068677732,0,0.930348601373036,0,0.9228890749437688,0,0,0,0.936543524969244,0,0,0,0.9327512071848332,0,0,0,0.2923722926342498,0,0,0,0.9134874186478888,0,0,0,0.899767326220174,0,0,0,0.2694730259309435,0,0.8990482563693418,0,0.8992023417149174,0,ZFTA,LogisticRegression,mono,2326,-0.8992023417149174,-0.930348601373036
64,20,0.972409305579106,0,0.9711564821257952,0,0.8594910040966415,0,0.9730571623186712,0,0,0,0.9701503244575576,0,0,0,0.8669319295375938,0,0,0,0.530522545065808,0,0,0,0.9615041513310196,0,0,0,0.7947147640423181,0,0,0,0.4245752249005141,0,0.9492394824788438,0,0.7414184709057595,0,FOSL2,LogisticRegression,mono,4532,-0.7414184709057595,-0.8594910040966415
72,22,0.7876623523653333,0,0.7822837531912208,0,0.7511227444865226,0,0.7958648576621201,0,0,0,0.7886243809337719,0,0,0,0.7422722209846291,0,0,0,0.3222611511400023,0,0,0,0.7723916341979059,0,0,0,0.7238838762424805,0,0,0,0.3011296377460199,0,0.7641937774047626,0,0.7295379932084729,0,ZNF226,LogisticRegression,mono,4429,-0.7295379932084729,-0.7511227444865226
