,Count,roc_auc_train_H_PWM,roc_auc_train_H_PWM_di,roc_auc_test_H_PWM,roc_auc_test_H_PWM_di,roc_auc_test_M_PWM,roc_auc_test_M_PWM_di,roc_auc_train_H,mean_auc_train_H,median_auc_train_H,std_auc_train_H,roc_auc_test_H,mean_auc_test_H,median_auc_test_H,std_auc_test_H,roc_auc_test_M,mean_auc_test_M,median_auc_test_M,std_auc_test_M,pr_auc_train_H,mean_pr_auc_train_H,median_pr_auc_train_H,std_pr_auc_train_H,pr_auc_test_H,mean_pr_auc_test_H,median_pr_auc_test_H,std_pr_auc_test_H,pr_auc_test_M,mean_pr_auc_test_M,median_pr_auc_test_M,std_pr_auc_test_M,pr_auc_train_H_PWM,pr_auc_train_H_PWM_di,pr_auc_test_H_PWM,pr_auc_test_H_PWM_di,pr_auc_test_M_PWM,pr_auc_test_M_PWM_di,TF_name,Model,PWM,Seq_count_positives,Seq_count_random,Seq_count_alien,Seq_count_shades
0,34,0.9578524578746018,0,0.9621570843086084,0,0.7358193331455691,0,0.9721136830084594,0,0,0,0.973888343236482,0,0,0,0.697943844199123,0,0,0,0.3425805183898537,0,0,0,0.9436786548794394,0,0,0,0.5682305742072898,0,0,0,0.1815861661366319,0,0.9141757285186622,0,0.6056068859458166,0,LEUTX,RandomForestClassifier,mono,7223,722300,510293,14388
1,20,0.9448462387849051,0,0.8831161481668162,0,0.935438525215786,0,0.976322675024826,0,0,0,0.9243508251081451,0,0,0,0.94477003292011,0,0,0,0.380695817651483,0,0,0,0.8385588997256421,0,0,0,0.8989559902829537,0,0,0,0.1712454895106966,0,0.7543440961522763,0,0.8692472631837552,0,FBXL19,RandomForestClassifier,mono,6182,618200,479884,11728
2,40,0.8660992644316604,0,0.8949387451110296,0,0.7966654541320737,0,0.9242377433048998,0,0,0,0.9245959190831414,0,0,0,0.6988608219127783,0,0,0,0.3171119742444648,0,0,0,0.8762948047718842,0,0,0,0.601250234260715,0,0,0,0.193064833934855,0,0.8575687819533802,0,0.6489842144202644,0,ZBED5,RandomForestClassifier,mono,1535,153500,153500,3009
3,20,0.890119359027438,0,0.876232741617357,0,0.777813437948014,0,0.9341554537242652,0,0,0,0.8920783872411998,0,0,0,0.6820399621314723,0,0,0,0.7959279970453771,0,0,0,0.8970821815613679,0,0,0,0.6203233882189466,0,0,0,0.6741265801410297,0,0.8876361449731771,0,0.6771726534901734,0,ZFAT,RandomForestClassifier,mono,326,32600,32600,507
4,26,0.8767678705497323,0,0.7961597754763222,0,0.53335556840399,0,0.9627467946457828,0,0,0,0.93780470129391,0,0,0,0.557120699178805,0,0,0,0.8855636658732202,0,0,0,0.926039677698619,0,0,0,0.4500491437809321,0,0,0,0.7538585216621014,0,0.8327369639585163,0,0.4181844280692883,0,ZSCAN2,RandomForestClassifier,mono,278,27800,27800,546
5,34,0.987980052579342,0,0.989075215069117,0,0.6930780957599137,0,0.9917173855711108,0,0,0,0.9913229801899188,0,0,0,0.7183992448998767,0,0,0,0.7807526666839931,0,0,0,0.9865926592254278,0,0,0,0.6333789437488841,0,0,0,0.7451025251762594,0,0.9833723663590436,0,0.6216452440819342,0,LEF1,RandomForestClassifier,mono,5752,575200,513934,11333
6,35,0.9639756064358244,0,0.9347096332145536,0,0.9350613399719742,0,0.9760092860325807,0,0,0,0.9495784217103788,0,0,0,0.9466510518969272,0,0,0,0.4580827365273098,0,0,0,0.9021238857773258,0,0,0,0.8803686232353625,0,0,0,0.3260956610452029,0,0.8637505319893823,0,0.8502220848246264,0,ZNF395,RandomForestClassifier,mono,9400,940000,477367,17638
7,39,0.9124521084601868,0,0.9261716068677732,0,0.930348601373036,0,0.9557202408282416,0,0,0,0.9523275997236386,0,0,0,0.8820958332452018,0,0,0,0.3666731114708649,0,0,0,0.9160065642530172,0,0,0,0.8501594877502059,0,0,0,0.2694730259309435,0,0.8990482563693418,0,0.8992023417149174,0,ZFTA,RandomForestClassifier,mono,2326,232600,232600,4601
8,20,0.972409305579106,0,0.9711564821257952,0,0.8594910040966415,0,0.9846034661199016,0,0,0,0.9816821815267596,0,0,0,0.8122319216460193,0,0,0,0.7599586017318856,0,0,0,0.976784768490248,0,0,0,0.7631461328109911,0,0,0,0.4245752249005141,0,0.9492394824788438,0,0.7414184709057595,0,FOSL2,RandomForestClassifier,mono,4532,453200,453200,8989
9,22,0.7876623523653333,0,0.7822837531912208,0,0.7511227444865226,0,0.8101201158307206,0,0,0,0.8060228075507215,0,0,0,0.7711405658275785,0,0,0,0.3695958716033177,0,0,0,0.7870965783531951,0,0,0,0.7459811394607155,0,0,0,0.3011296377460199,0,0.7641937774047626,0,0.7295379932084729,0,ZNF226,RandomForestClassifier,mono,4429,442900,442900,8537
10,27,0.8760825350972704,0,0.8916286234712464,0,0.9085939389511448,0,0.929080865438258,0,0,0,0.9281769450949778,0,0,0,0.9192819604563044,0,0,0,0.4448287860884505,0,0,0,0.896979317876441,0,0,0,0.8899421312416357,0,0,0,0.2558351468443162,0,0.8208444711328331,0,0.7851382654576774,0,ZNF407,RandomForestClassifier,mono,1575,157500,157500,3050
11,20,0.9143069151852142,0,0.9151191666807926,0,0.9022133529436468,0,0.9825153366225494,0,0,0,0.9554269150577188,0,0,0,0.9104183371487848,0,0,0,0.8802551292783471,0,0,0,0.951898657383232,0,0,0,0.8886948633087154,0,0,0,0.767143526329641,0,0.9174258804547312,0,0.8938794705847638,0,ZNF260,RandomForestClassifier,mono,346,34600,34600,682
12,20,0.9543331820423276,0,0.9417387433457376,0,0.5030279626768783,0,0.9665055433741052,0,0,0,0.9591426366417776,0,0,0,0.5784364158396611,0,0,0,0.8128781415259584,0,0,0,0.9489165161789102,0,0,0,0.4461514098395143,0,0,0,0.6382165060336414,0,0.9091120399316196,0,0.5401356532143424,0,DNTTIP1,RandomForestClassifier,mono,2476,247600,247600,4824
13,41,0.8894676343556238,0,0.8846494016837888,0,0.7577151457447684,0,0.9310927387584398,0,0,0,0.9305895726239598,0,0,0,0.7437012428628275,0,0,0,0.6981287504602894,0,0,0,0.9227968626126036,0,0,0,0.6661609283704016,0,0,0,0.5982170399630397,0,0.8513484196751018,0,0.6669685571491607,0,JRK,RandomForestClassifier,mono,1833,183300,183300,3408
14,33,0.9300145729118868,0,0.9368473646164142,0,0.8632813062336365,0,0.9560116190269418,0,0,0,0.956222896613051,0,0,0,0.8423252743653794,0,0,0,0.6977178996812315,0,0,0,0.9515016180432776,0,0,0,0.8002222015490813,0,0,0,0.5608255026660538,0,0.8981619052486532,0,0.7122295092899872,0,ZNF471,RandomForestClassifier,mono,2613,261300,261300,5130
15,25,0.8031099774931049,0,0.8415790318246955,0,0.7717408372580425,0,0.8972330447821915,0,0,0,0.8816948292333413,0,0,0,0.7087869276531004,0,0,0,0.2582103441537189,0,0,0,0.7979160223087965,0,0,0,0.566454350875452,0,0,0,0.0498096454009151,0,0.7163890489646758,0,0.5961606166146071,0,ZBTB8A,RandomForestClassifier,mono,1272,127200,127200,2528
16,23,0.9231780663976952,0,0.924072310011112,0,0.8745331751395106,0,0.9455502987495792,0,0,0,0.94244301512063,0,0,0,0.8889314553830269,0,0,0,0.631604080588241,0,0,0,0.930098913645836,0,0,0,0.8617102479107743,0,0,0,0.5201272552807142,0,0.8833322152056949,0,0.8488689035768902,0,ZNF251,RandomForestClassifier,mono,6019,601900,503019,11921
17,29,0.9621880776857962,0,0.9645464342235672,0,0.9454823981737356,0,0.9688418469958984,0,0,0,0.9696570869579478,0,0,0,0.947845855176208,0,0,0,0.4768460417174365,0,0,0,0.9484687012616444,0,0,0,0.9504406804331472,0,0,0,0.4010742176797907,0,0.9390411459136146,0,0.9490510448017828,0,ZNF493,RandomForestClassifier,mono,11361,1136100,497035,22543
18,34,0.9315122843948488,0,0.9409865947363888,0,0.5694030693259171,0,0.9714506504574326,0,0,0,0.9739840663245865,0,0,0,0.6059376561714273,0,0,0,0.545027105687541,0,0,0,0.952273541163552,0,0,0,0.4997928695243513,0,0,0,0.3156060343768798,0,0.8132742162277041,0,0.4788888078589787,0,VDR,RandomForestClassifier,mono,4617,461700,461700,9129
19,20,0.8561876495606185,0,0.859673428272229,0,0.6398260608456826,0,0.9420642633071248,0,0,0,0.9219069774241048,0,0,0,0.7978108128813421,0,0,0,0.7008715795303879,0,0,0,0.9106267392995252,0,0,0,0.7380494901238555,0,0,0,0.2074096964953077,0,0.8147816594066951,0,0.5084734353036524,0,ZNF322,RandomForestClassifier,mono,876,87600,87600,1718
20,28,0.9622674680119176,0,0.9534600604601116,0,0.7846290791768652,0,0.9836101242815988,0,0,0,0.9746796033294984,0,0,0,0.8038344665738769,0,0,0,0.7922270357457677,0,0,0,0.9639132180520812,0,0,0,0.77098597307931,0,0,0,0.5151693400611302,0,0.9191310998834152,0,0.7021981601987393,0,NACC2,RandomForestClassifier,mono,4038,403800,403800,7975
21,40,0.8178759737499444,0,0.8290978051991242,0,0.6326036977426974,0,0.9389343052277448,0,0,0,0.9442658858491064,0,0,0,0.7344566659116878,0,0,0,0.6802067823661675,0,0,0,0.9390452661065424,0,0,0,0.6996448688463042,0,0,0,0.4229910660290212,0,0.7681930917473853,0,0.448307297779481,0,ZNF107,RandomForestClassifier,mono,2324,232400,232400,4601
22,27,0.7896982776468616,0,0.8014432128261553,0,0.8520261776601527,0,0.8735769906892471,0,0,0,0.8645996793461176,0,0,0,0.8034047050922356,0,0,0,0.1878979707978765,0,0,0,0.7778675859954969,0,0,0,0.6708757828834728,0,0,0,0.0819261869789587,0,0.6963571155276893,0,0.6227572328956752,0,ZNF648,RandomForestClassifier,mono,6362,636200,497161,12500
23,20,0.934026751413046,0,0.948076616469989,0,0.5277267156862745,0,0.9447975228254436,0,0,0,0.9544025764884398,0,0,0,0.5972732843137255,0,0,0,0.4929359289266147,0,0,0,0.9306622021202636,0,0,0,0.7407880264955636,0,0,0,0.3375909283673202,0,0.9129291705947978,0,0.7469896631812565,0,CAMTA2,RandomForestClassifier,mono,7908,790800,498492,15647
24,28,0.9429108632383202,0,0.9505533245714926,0,0.550890116709302,0,0.9675661687727144,0,0,0,0.9688166174518672,0,0,0,0.5393246087420951,0,0,0,0.7435939199193257,0,0,0,0.9594355603847105,0,0,0,0.4313594517857484,0,0,0,0.6386201638412791,0,0.9333354503937134,0,0.4555033275256524,0,ZNF841,RandomForestClassifier,mono,1966,196600,196600,3905
25,46,0.7774512964365433,0,0.8157801715316925,0,0.7057871034949367,0,0.9108215082908164,0,0,0,0.890499711633272,0,0,0,0.6207036619785532,0,0,0,0.5202021270252822,0,0,0,0.8559647329734884,0,0,0,0.5070027690718272,0,0,0,0.302563852597579,0,0.6638067853241628,0,0.5911249930317402,0,TIGD4,RandomForestClassifier,mono,779,77900,77900,1518
26,31,0.7863798321422852,0,0.7644309100017037,0,0.8030032825216962,0,0.8485205292621883,0,0,0,0.8429960846740233,0,0,0,0.7885682809478842,0,0,0,0.3561755070591874,0,0,0,0.8101206811071258,0,0,0,0.7422829920222385,0,0,0,0.2036880851305027,0,0.7348180472589149,0,0.7231346077904534,0,ZNF470,RandomForestClassifier,mono,2701,270100,270100,5246
