,Count,roc_auc_train_H_PWM,roc_auc_train_H_PWM_di,roc_auc_test_H_PWM,roc_auc_test_H_PWM_di,roc_auc_test_M_PWM,roc_auc_test_M_PWM_di,roc_auc_train_H,mean_auc_train_H,median_auc_train_H,std_auc_train_H,roc_auc_test_H,mean_auc_test_H,median_auc_test_H,std_auc_test_H,roc_auc_test_M,mean_auc_test_M,median_auc_test_M,std_auc_test_M,pr_auc_train_H,mean_pr_auc_train_H,median_pr_auc_train_H,std_pr_auc_train_H,pr_auc_test_H,mean_pr_auc_test_H,median_pr_auc_test_H,std_pr_auc_test_H,pr_auc_test_M,mean_pr_auc_test_M,median_pr_auc_test_M,std_pr_auc_test_M,pr_auc_train_H_PWM,pr_auc_train_H_PWM_di,pr_auc_test_H_PWM,pr_auc_test_H_PWM_di,pr_auc_test_M_PWM,pr_auc_test_M_PWM_di,TF_name,Model,PWM,Seq_count,PR_delta_M,ROC_delta_M
0,34,0.757104507742292,0,0.7154482197517801,0,0.9385344598739754,0,0.7720895857753499,0,0,0,0.7338015205603896,0,0,0,0.9342570238762892,0,0,0,0.0386430913079266,0,0,0,0.5731419888980016,0,0,0,0.8422901183482167,0,0,0,0.0354216412120902,0,0.5550173179035185,0,0.8514049855885248,0,LEUTX,LogisticRegression,mono,,-0.8514049855885248,-0.9385344598739754
1,28,0.8994780609377382,0,0.9291245485691366,0,0.7952309462559745,0,0.9547242850746837,0,0,0,0.9628635181504974,0,0,0,0.8678615836894774,0,0,0,0.4106904969627574,0,0,0,0.9315498427686272,0,0,0,0.7545953428753338,0,0,0,0.1810712090228823,0,0.860650357562286,0,0.6672005403082,0,FBXL19,LogisticRegression,mono,5258.0,-0.6672005403082,-0.7952309462559745
9,42,0.8136210230207166,0,0.8093294695578139,0,0.8644886188340516,0,0.8282380655310149,0,0,0,0.8167620185829653,0,0,0,0.8680317354126545,0,0,0,0.121441624619574,0,0,0,0.7218243259669495,0,0,0,0.8238490027222082,0,0,0,0.0828406628878511,0,0.709084302660184,0,0.8143276030036253,0,ZBED5,LogisticRegression,mono,,-0.8143276030036253,-0.8644886188340516
10,38,0.8444495560609147,0,0.8254822906689473,0,0.8243819653682797,0,0.8536464182077002,0,0,0,0.8339593132453029,0,0,0,0.8142689464067473,0,0,0,0.1996360391897344,0,0,0,0.7626495815742534,0,0,0,0.8291651184218274,0,0,0,0.1804497688597017,0,0.7189268326014947,0,0.762396480322788,0,ZFAT,LogisticRegression,mono,12101.0,-0.762396480322788,-0.8243819653682797
18,25,0.7238499775352232,0,0.7354286959189983,0,0.7647244841489446,0,0.7612821994912533,0,0,0,0.7714324129930864,0,0,0,0.7723140169183335,0,0,0,0.0649963804437582,0,0,0,0.628672105246927,0,0,0,0.7749932072876103,0,0,0,0.0610840872448309,0,0.4864269726290621,0,0.8180542039372467,0,ZSCAN2,LogisticRegression,mono,,-0.8180542039372467,-0.7647244841489446
19,26,0.7103722248199786,0,0.7342253463023086,0,0.9775501609083568,0,0.7168822887100132,0,0,0,0.7389804478042157,0,0,0,0.9858387238420372,0,0,0,0.0523935536344546,0,0,0,0.648469477603618,0,0,0,0.9771117487353164,0,0,0,0.0505394202597838,0,0.6270967708732198,0,0.9805850900367692,0,LEF1,LogisticRegression,mono,12304.0,-0.9805850900367692,-0.9775501609083568
27,23,0.8880693944449531,0,0.944738115329293,0,0.9365212289471716,0,0.9028592236899338,0,0,0,0.951837580939799,0,0,0,0.9488321756941612,0,0,0,0.0929380789192461,0,0,0,0.8902249011285507,0,0,0,0.8970349164227531,0,0,0,0.0700461422880681,0,0.8743120995937681,0,0.87281254004213,0,ZNF395,LogisticRegression,mono,,-0.87281254004213,-0.9365212289471716
28,22,0.942862531061362,0,0.9432559449842932,0,0.9154325585880524,0,0.9465459865973076,0,0,0,0.947762880600454,0,0,0,0.9235003587204772,0,0,0,0.4149864730887125,0,0,0,0.9243784308418288,0,0,0,0.8908060100881434,0,0,0,0.3998731455377198,0,0.9187067186119988,0,0.8914638855578312,0,ZFTA,LogisticRegression,mono,29213.0,-0.8914638855578312,-0.9154325585880524
36,25,0.9070199268140527,0,0.919196747841108,0,0.9061409713568715,0,0.910581182610503,0,0,0,0.9233475145927844,0,0,0,0.9015406763213684,0,0,0,0.2382539429974456,0,0,0,0.8914871889820755,0,0,0,0.8973358070556915,0,0,0,0.2301789566061231,0,0.8583396469880707,0,0.8897726013462711,0,FOSL2,LogisticRegression,mono,,-0.8897726013462711,-0.9061409713568715
37,26,0.7342320884584986,0,0.7632613054132323,0,0.7578206250438206,0,0.7972930686535554,0,0,0,0.8185520160392069,0,0,0,0.8444097867005967,0,0,0,0.381037629209045,0,0,0,0.8015002226806943,0,0,0,0.8073693657927026,0,0,0,0.3138551966322302,0,0.7401752814150397,0,0.7208752854732796,0,ZNF226,LogisticRegression,mono,,-0.7208752854732796,-0.7578206250438206
38,20,0.8344088474477789,0,0.8698734405232184,0,0.8571048659901119,0,0.8714268590040855,0,0,0,0.9247533557723316,0,0,0,0.887335935467083,0,0,0,0.3119943109467204,0,0,0,0.8922067712267164,0,0,0,0.8433776534406983,0,0,0,0.2661962839495493,0,0.8227371315235685,0,0.7746580880992235,0,ZNF407,LogisticRegression,mono,,-0.7746580880992235,-0.8571048659901119
