,Count,roc_auc_train_H_PWM,roc_auc_train_H_PWM_di,roc_auc_test_H_PWM,roc_auc_test_H_PWM_di,roc_auc_test_M_PWM,roc_auc_test_M_PWM_di,roc_auc_train_H,mean_auc_train_H,median_auc_train_H,std_auc_train_H,roc_auc_test_H,mean_auc_test_H,median_auc_test_H,std_auc_test_H,roc_auc_test_M,mean_auc_test_M,median_auc_test_M,std_auc_test_M,pr_auc_train_H,mean_pr_auc_train_H,median_pr_auc_train_H,std_pr_auc_train_H,pr_auc_test_H,mean_pr_auc_test_H,median_pr_auc_test_H,std_pr_auc_test_H,pr_auc_test_M,mean_pr_auc_test_M,median_pr_auc_test_M,std_pr_auc_test_M,pr_auc_train_H_PWM,pr_auc_train_H_PWM_di,pr_auc_test_H_PWM,pr_auc_test_H_PWM_di,pr_auc_test_M_PWM,pr_auc_test_M_PWM_di,TF_name,Model,PWM,Seq_count_positives,Seq_count_random,Seq_count_alien,Seq_count_shades
0,34,0.9578524578746018,0,0.9693119891344444,0,0.7697696681814631,0,0.9720990429032644,0,0,0,0.9776726143927292,0,0,0,0.7124189764171376,0,0,0,0.3398424326812927,0,0,0,0.4570739438134075,0,0,0,0.0356823234165623,0,0,0,0.1815861661366319,0,0.2752145535349554,0,0.0424887064066675,0,LEUTX,RandomForestClassifier,mono,7223,722300,510293,14388
1,20,0.9448462387849051,0,0.941943105219478,0,0.8979605948500508,0,0.9764190824470076,0,0,0,0.9601053477050656,0,0,0,0.91515502360438,0,0,0,0.3810277455548165,0,0,0,0.2460935847499477,0,0,0,0.1024622440506396,0,0,0,0.1712454895106966,0,0.1665274657845314,0,0.0860451927882725,0,FBXL19,RandomForestClassifier,mono,6182,618200,479884,11728
2,40,0.8660992644316604,0,0.8735031777525492,0,0.835817829303437,0,0.9248849958341598,0,0,0,0.9207775997623318,0,0,0,0.6612085625970805,0,0,0,0.317533821859728,0,0,0,0.2177460003450372,0,0,0,0.0967878866491874,0,0,0,0.193064833934855,0,0.2122779175120913,0,0.1231105761579986,0,ZBED5,RandomForestClassifier,mono,1535,153500,153500,3009
3,20,0.890119359027438,0,0.8832400071511912,0,0.7842213867442074,0,0.9398589992096053,0,0,0,0.8803567127103015,0,0,0,0.6323004865850976,0,0,0,0.7996605515529057,0,0,0,0.6561039767473276,0,0,0,0.1049515918489653,0,0,0,0.6741265801410297,0,0.5952595536288863,0,0.0792476272668236,0,ZFAT,RandomForestClassifier,mono,326,32600,32600,507
4,26,0.8767678705497323,0,0.7990760053827441,0,0.521958916772181,0,0.967587304681829,0,0,0,0.9345778557010508,0,0,0,0.5492451458335719,0,0,0,0.8857097581112526,0,0,0,0.6826242227046615,0,0,0,0.0481631364226833,0,0,0,0.7538585216621014,0,0.6434172335981679,0,0.0440744173872459,0,ZSCAN2,RandomForestClassifier,mono,278,27800,27800,546
5,34,0.987980052579342,0,0.9919696567814488,0,0.7088509019739,0,0.9913813361184098,0,0,0,0.992498836919,0,0,0,0.710233005740677,0,0,0,0.7812709364521875,0,0,0,0.8386690977782874,0,0,0,0.0645593635700837,0,0,0,0.7451025251762594,0,0.8215715297988777,0,0.0594496338038613,0,LEF1,RandomForestClassifier,mono,5752,575200,513934,11333
6,35,0.9639756064358244,0,0.9692082859973608,0,0.6827371135448226,0,0.9759733995909124,0,0,0,0.9784831400516192,0,0,0,0.6759296890655131,0,0,0,0.4555061101221742,0,0,0,0.584873979745814,0,0,0,0.0296561671674735,0,0,0,0.3260956610452029,0,0.4803090078016054,0,0.0216298972439679,0,ZNF395,RandomForestClassifier,mono,9400,940000,477367,17638
7,39,0.9124521084601868,0,0.928637770050918,0,0.9451276649408196,0,0.9575701812966284,0,0,0,0.9517478664674408,0,0,0,0.8620215149725854,0,0,0,0.3660314169871728,0,0,0,0.3096948710212641,0,0,0,0.3690912441569008,0,0,0,0.2694730259309435,0,0.3362085527353166,0,0.5563139992608946,0,ZFTA,RandomForestClassifier,mono,2326,232600,232600,4601
8,20,0.972409305579106,0,0.9691409966705332,0,0.8560481166020155,0,0.9845574771216972,0,0,0,0.9799297846382574,0,0,0,0.8132027229049617,0,0,0,0.7603601609308993,0,0,0,0.7656361072456095,0,0,0,0.2639626722282145,0,0,0,0.4245752249005141,0,0.447624958307131,0,0.1783327202232397,0,FOSL2,RandomForestClassifier,mono,4532,453200,453200,8989
9,22,0.7876623523653333,0,0.788768887412093,0,0.7604089997772332,0,0.8117187988703831,0,0,0,0.8038941807880601,0,0,0,0.7628394742704389,0,0,0,0.3699811388585239,0,0,0,0.3029262147525953,0,0,0,0.3146830197460774,0,0,0,0.3011296377460199,0,0.3122487273692759,0,0.2992223797497741,0,ZNF226,RandomForestClassifier,mono,4429,442900,442900,8537
10,27,0.8760825350972704,0,0.8723171398337113,0,0.8470819340919962,0,0.927686288486738,0,0,0,0.9170444887881078,0,0,0,0.8683050661670918,0,0,0,0.4420875854874305,0,0,0,0.3623272626913911,0,0,0,0.3460417660111832,0,0,0,0.2558351468443162,0,0.2370623352715087,0,0.2501859449572921,0,ZNF407,RandomForestClassifier,mono,1575,157500,157500,3050
