Count,roc_auc_train_H_PWM,roc_auc_train_H_PWM_di,roc_auc_test_H_PWM,roc_auc_test_H_PWM_di,roc_auc_test_M_PWM,roc_auc_test_M_PWM_di,roc_auc_train_H,mean_auc_train_H,median_auc_train_H,std_auc_train_H,roc_auc_test_H,mean_auc_test_H,median_auc_test_H,std_auc_test_H,roc_auc_test_M,mean_auc_test_M,median_auc_test_M,std_auc_test_M,pr_auc_train_H,mean_pr_auc_train_H,median_pr_auc_train_H,std_pr_auc_train_H,pr_auc_test_H,mean_pr_auc_test_H,median_pr_auc_test_H,std_pr_auc_test_H,pr_auc_test_M,mean_pr_auc_test_M,median_pr_auc_test_M,std_pr_auc_test_M,pr_auc_train_H_PWM,pr_auc_train_H_PWM_di,pr_auc_test_H_PWM,pr_auc_test_H_PWM_di,pr_auc_test_M_PWM,pr_auc_test_M_PWM_di,TF_name,Model,PWM,PR_delta_H,ROC_delta_H,dLR
2,0.8337570075182739,0.0,0.8519711729151497,0.0,0.7898473668866416,0.0,0.9122164271943894,0.0,0.0,0.0,0.919584102923852,0.0,0.0,0.0,0.776968770811751,0.0,0.0,0.0,0.640694229261139,0.0,0.0,0.0,0.6174882214032986,0.0,0.0,0.0,0.1124517591482008,0.0,0.0,0.0,0.5526098625727494,0.0,0.5892058810640195,0.0,0.1489715387369157,0.0,ZNF606,RandomForestClassifier,2,0.02828234033927912,0.06761293000870228,0.06761293000870228
4,0.8337570075182739,0.0,0.8519711729151497,0.0,0.7898473668866416,0.0,0.8916617760497333,0.0,0.0,0.0,0.8933816251383783,0.0,0.0,0.0,0.6831100413665967,0.0,0.0,0.0,0.6679783932127584,0.0,0.0,0.0,0.6243237466833255,0.0,0.0,0.0,0.0960513959266046,0.0,0.0,0.0,0.5526098625727494,0.0,0.5892058810640195,0.0,0.1489715387369157,0.0,ZNF606,RandomForestClassifier,4,0.035117865619305966,0.04141045222322859,0.04141045222322859
8,0.8337570075182739,0.0,0.8519711729151497,0.0,0.7898473668866416,0.0,0.9315838340917189,0.0,0.0,0.0,0.9222008216858768,0.0,0.0,0.0,0.7185946552835515,0.0,0.0,0.0,0.7394536820156341,0.0,0.0,0.0,0.689619314749615,0.0,0.0,0.0,0.0875111144231468,0.0,0.0,0.0,0.5602767735356864,0.0,0.5881345253143023,0.0,0.1162402444741746,0.0,ZNF606,RandomForestClassifier,8,0.1014847894353127,0.07022964877072713,0.07022964877072713
16,0.8337570075182739,0.0,0.8519711729151497,0.0,0.7898473668866416,0.0,0.942998827931461,0.0,0.0,0.0,0.9361197986040812,0.0,0.0,0.0,0.7037149185363946,0.0,0.0,0.0,0.7582707944033381,0.0,0.0,0.0,0.7110531328020907,0.0,0.0,0.0,0.0910645168706446,0.0,0.0,0.0,0.5602767735356864,0.0,0.5881345253143023,0.0,0.1162402444741746,0.0,ZNF606,RandomForestClassifier,16,0.12291860748778838,0.08414862568893156,0.08414862568893156
all,0.8337570075182739,0.0,0.8519711729151497,0.0,0.7898473668866416,0.0,0.939100596351352,0.0,0.0,0.0,0.9305283312909584,0.0,0.0,0.0,0.6803107629696792,0.0,0.0,0.0,0.7588470963802401,0.0,0.0,0.0,0.7110573591930284,0.0,0.0,0.0,0.0786098739216439,0.0,0.0,0.0,0.5602767735356864,0.0,0.5881345253143023,0.0,0.1162402444741746,0.0,ZNF606,RandomForestClassifier,all,0.12292283387872605,0.07855715837580868,0.07855715837580868
2,0.8764292839003428,0.0,0.8849135465586939,0.0,0.8204416325219048,0.0,0.8901503558224486,0.0,0.0,0.0,0.9005722937732432,0.0,0.0,0.0,0.8045189899380332,0.0,0.0,0.0,0.5153564878502095,0.0,0.0,0.0,0.5322396578825713,0.0,0.0,0.0,0.3851938247225879,0.0,0.0,0.0,0.492214648741447,0.0,0.5276358765933401,0.0,0.3871261250908788,0.0,ZNF724,RandomForestClassifier,2,0.0046037812892312235,0.015658747214549296,0.015658747214549296
4,0.8764292839003428,0.0,0.8849135465586939,0.0,0.8204416325219048,0.0,0.8985497222704318,0.0,0.0,0.0,0.9081277717454403,0.0,0.0,0.0,0.8023080531329637,0.0,0.0,0.0,0.5543217683996821,0.0,0.0,0.0,0.5585850437404939,0.0,0.0,0.0,0.4028131168788998,0.0,0.0,0.0,0.492214648741447,0.0,0.5276358765933401,0.0,0.3871261250908788,0.0,ZNF724,RandomForestClassifier,4,0.03094916714715379,0.02321422518674643,0.02321422518674643
8,0.8764292839003428,0.0,0.8849135465586939,0.0,0.8204416325219048,0.0,0.9032498617146948,0.0,0.0,0.0,0.9113553392174168,0.0,0.0,0.0,0.8009993260098668,0.0,0.0,0.0,0.559814268434562,0.0,0.0,0.0,0.5652849158173471,0.0,0.0,0.0,0.4072478819165666,0.0,0.0,0.0,0.492214648741447,0.0,0.5276358765933401,0.0,0.3871261250908788,0.0,ZNF724,RandomForestClassifier,8,0.037649039224006975,0.02644179265872293,0.02644179265872293
16,0.8764292839003428,0.0,0.8849135465586939,0.0,0.8204416325219048,0.0,0.9107512799371056,0.0,0.0,0.0,0.916940834469933,0.0,0.0,0.0,0.8087148527896589,0.0,0.0,0.0,0.5765100563977168,0.0,0.0,0.0,0.5826761059120203,0.0,0.0,0.0,0.4156226110408695,0.0,0.0,0.0,0.492214648741447,0.0,0.5276358765933401,0.0,0.3871261250908788,0.0,ZNF724,RandomForestClassifier,16,0.055040229318680245,0.0320272879112391,0.0320272879112391
all,0.8764292839003428,0.0,0.8849135465586939,0.0,0.8204416325219048,0.0,0.9204740566624288,0.0,0.0,0.0,0.9251638938847774,0.0,0.0,0.0,0.811425169522307,0.0,0.0,0.0,0.5885338151353903,0.0,0.0,0.0,0.5963509639433385,0.0,0.0,0.0,0.4291597199115642,0.0,0.0,0.0,0.492214648741447,0.0,0.5276358765933401,0.0,0.3871261250908788,0.0,ZNF724,RandomForestClassifier,all,0.06871508734999843,0.04025034732608346,0.04025034732608346
