,Count,roc_auc_train_H_PWM,roc_auc_train_H_PWM_di,roc_auc_test_H_PWM,roc_auc_test_H_PWM_di,roc_auc_test_M_PWM,roc_auc_test_M_PWM_di,roc_auc_train_H,mean_auc_train_H,median_auc_train_H,std_auc_train_H,roc_auc_test_H,mean_auc_test_H,median_auc_test_H,std_auc_test_H,roc_auc_test_M,mean_auc_test_M,median_auc_test_M,std_auc_test_M,pr_auc_train_H,mean_pr_auc_train_H,median_pr_auc_train_H,std_pr_auc_train_H,pr_auc_test_H,mean_pr_auc_test_H,median_pr_auc_test_H,std_pr_auc_test_H,pr_auc_test_M,mean_pr_auc_test_M,median_pr_auc_test_M,std_pr_auc_test_M,pr_auc_train_H_PWM,pr_auc_train_H_PWM_di,pr_auc_test_H_PWM,pr_auc_test_H_PWM_di,pr_auc_test_M_PWM,pr_auc_test_M_PWM_di,TF_name,Model,PWM,Seq_count_positives,Seq_count_random,Seq_count_alien,Seq_count_shades
0,34,0.757104507742292,0,0.7654616762782221,0,0.9568514261386304,0,0.79955286459525,0,0,0,0.7855279834470387,0,0,0,0.9502075699526328,0,0,0,0.0614678496174414,0,0,0,0.0409980502753502,0,0,0,0.1969941086675522,0,0,0,0.0354216412120902,0,0.0340242400708951,0,0.1955028249560477,0,LEUTX,RandomForestClassifier,mono,2706,270600,270600,5377
1,28,0.8994780609377382,0,0.8901957127475226,0,0.9042617907774276,0,0.9597691868855738,0,0,0,0.9322205030614292,0,0,0,0.931739742144522,0,0,0,0.4297715561130112,0,0,0,0.1785972750183852,0,0,0,0.1870908213220058,0,0,0,0.1810712090228823,0,0.0948325614073923,0,0.1283449209518296,0,FBXL19,RandomForestClassifier,mono,5258,525800,525800,10443
2,42,0.8136210230207166,0,0.8467227527381587,0,0.8363730097932074,0,0.8357574295772179,0,0,0,0.8522780805684181,0,0,0,0.8181466774183279,0,0,0,0.1512725098702794,0,0,0,0.1448410882534778,0,0,0,0.0718561395823657,0,0,0,0.0828406628878511,0,0.1570975312169084,0,0.1398926048824874,0,ZBED5,RandomForestClassifier,mono,21703,2170300,1377670,42931
3,38,0.8444495560609147,0,0.8334911473652251,0,0.8393291994429598,0,0.8571739580310272,0,0,0,0.8512276704060413,0,0,0,0.8384803248146336,0,0,0,0.2391798482003736,0,0,0,0.2550777876581834,0,0,0,0.4590740794102768,0,0,0,0.1804497688597017,0,0.2091501301922405,0,0.3749023096106036,0,ZFAT,RandomForestClassifier,mono,12101,1210100,1210100,23412
4,25,0.7238499775352232,0,0.7202545363315773,0,0.7732559779514517,0,0.7638558289516354,0,0,0,0.7479709784456029,0,0,0,0.8359222478132602,0,0,0,0.113516534323462,0,0,0,0.0682732351880542,0,0,0,0.6214702277867814,0,0,0,0.0610840872448309,0,0.0503366488220837,0,0.629240879186883,0,ZSCAN2,RandomForestClassifier,mono,8853,885300,885300,17349
5,26,0.7103722248199786,0,0.7339303965965269,0,0.9803927686352176,0,0.750612404510649,0,0,0,0.7554376704093396,0,0,0,0.9905872216018624,0,0,0,0.0669094865980301,0,0,0,0.0709828620090531,0,0,0,0.7946174761024402,0,0,0,0.0505394202597838,0,0.063077043329449,0,0.7762829676010847,0,LEF1,RandomForestClassifier,mono,12304,1230400,1230400,24524
6,23,0.8880693944449531,0,0.6533958800922535,0,0.97410007283303,0,0.9248866086656672,0,0,0,0.7064687916961045,0,0,0,0.964426258596078,0,0,0,0.1740255301129625,0,0,0,0.0285911137900781,0,0,0,0.5406209681007115,0,0,0,0.0700461422880681,0,0.019860551777754,0,0.4785927498066566,0,ZNF395,RandomForestClassifier,mono,1357,135700,135700,2702
7,22,0.942862531061362,0,0.9557253894836714,0,0.9172629178252644,0,0.9479472069247676,0,0,0,0.9585601426739156,0,0,0,0.9243613098481482,0,0,0,0.4338767025567612,0,0,0,0.681781323461875,0,0,0,0.260242922493255,0,0,0,0.3998731455377198,0,0.6629495918780667,0,0.2633849661034184,0,ZFTA,RandomForestClassifier,mono,29213,2921300,1347065,58100
8,25,0.9070199268140527,0,0.9045401389118716,0,0.9011122940895342,0,0.9222842469475336,0,0,0,0.924872460104552,0,0,0,0.9105809482475896,0,0,0,0.2707199225639582,0,0,0,0.4558738164497294,0,0,0,0.6206312134083039,0,0,0,0.2301789566061231,0,0.4157991868538651,0,0.5066850549424764,0,FOSL2,RandomForestClassifier,mono,30492,3049200,1335576,60709
9,26,0.7342320884584986,0,0.7713600801960347,0,0.7680243087787184,0,0.8833082926005785,0,0,0,0.8618885720650479,0,0,0,0.8809435249956911,0,0,0,0.5230144958499849,0,0,0,0.4472874575054562,0,0,0,0.3864117980088458,0,0,0,0.3138551966322302,0,0.3302990173591281,0,0.1915558293648764,0,ZNF226,RandomForestClassifier,mono,335,33500,33500,670
10,20,0.8344088474477789,0,0.8284961062061543,0,0.8430683960695389,0,0.880185559891948,0,0,0,0.8710129157864317,0,0,0,0.8753459894179895,0,0,0,0.4108193112581716,0,0,0,0.3833693021514572,0,0,0,0.2997630034088073,0,0,0,0.2661962839495493,0,0.2637637634819486,0,0.2325814487105559,0,ZNF407,RandomForestClassifier,mono,896,89600,89600,1772
11,20,0.8967304429638012,0,0.9001616997730436,0,0.8974354722844065,0,0.9362726246396348,0,0,0,0.9356932522652672,0,0,0,0.9261242022787264,0,0,0,0.6367762066563568,0,0,0,0.6840627179216217,0,0,0,0.7259551292334979,0,0,0,0.4881669958715807,0,0.5625555114984506,0,0.6755586644405281,0,ZNF260,RandomForestClassifier,mono,2171,217100,217100,4201
