Count,roc_auc_train_H_PWM,roc_auc_train_H_PWM_di,roc_auc_test_H_PWM,roc_auc_test_H_PWM_di,roc_auc_test_M_PWM,roc_auc_test_M_PWM_di,roc_auc_train_H,mean_auc_train_H,median_auc_train_H,std_auc_train_H,roc_auc_test_H,mean_auc_test_H,median_auc_test_H,std_auc_test_H,roc_auc_test_M,mean_auc_test_M,median_auc_test_M,std_auc_test_M,pr_auc_train_H,mean_pr_auc_train_H,median_pr_auc_train_H,std_pr_auc_train_H,pr_auc_test_H,mean_pr_auc_test_H,median_pr_auc_test_H,std_pr_auc_test_H,pr_auc_test_M,mean_pr_auc_test_M,median_pr_auc_test_M,std_pr_auc_test_M,pr_auc_train_H_PWM,pr_auc_train_H_PWM_di,pr_auc_test_H_PWM,pr_auc_test_H_PWM_di,pr_auc_test_M_PWM,pr_auc_test_M_PWM_di,TF_name,Model,PWM,PR_delta_H,ROC_delta_H,dLR
2,0.895386671766248,0.0,0.8929888493015906,0.0,0.9524455192141216,0.0,0.9097826452882658,0.0,0.0,0.0,0.9023642033511724,0.0,0.0,0.0,0.954769468177199,0.0,0.0,0.0,0.6345869210389686,0.0,0.0,0.0,0.611537517461329,0.0,0.0,0.0,0.7896315940996271,0.0,0.0,0.0,0.5618754085949764,0.0,0.5587472402129148,0.0,0.777220929104036,0.0,ZNF814,RandomForestClassifier,2,0.05279027724841423,0.009375354049581786,0.009375354049581786
4,0.895386671766248,0.0,0.8929888493015906,0.0,0.9524455192141216,0.0,0.9163403781259836,0.0,0.0,0.0,0.9076654483013074,0.0,0.0,0.0,0.9572289133953104,0.0,0.0,0.0,0.6588746218130014,0.0,0.0,0.0,0.645364272374,0.0,0.0,0.0,0.8192571241620731,0.0,0.0,0.0,0.5618754085949764,0.0,0.5587472402129148,0.0,0.777220929104036,0.0,ZNF814,RandomForestClassifier,4,0.08661703216108518,0.014676598999716739,0.014676598999716739
8,0.895386671766248,0.0,0.8929888493015906,0.0,0.9524455192141216,0.0,0.917881368002518,0.0,0.0,0.0,0.907743725868726,0.0,0.0,0.0,0.958988294629079,0.0,0.0,0.0,0.6629111254392406,0.0,0.0,0.0,0.6500247729140037,0.0,0.0,0.0,0.8306112992286153,0.0,0.0,0.0,0.5618754085949764,0.0,0.5587472402129148,0.0,0.777220929104036,0.0,ZNF814,RandomForestClassifier,8,0.09127753270108896,0.014754876567135367,0.014754876567135367
16,0.895386671766248,0.0,0.8929888493015906,0.0,0.9524455192141216,0.0,0.9243573730781948,0.0,0.0,0.0,0.9240509654373072,0.0,0.0,0.0,0.984260792653092,0.0,0.0,0.0,0.7744169550201913,0.0,0.0,0.0,0.7625388502587445,0.0,0.0,0.0,0.9336913636837167,0.0,0.0,0.0,0.5618754085949764,0.0,0.5587472402129148,0.0,0.777220929104036,0.0,ZNF814,RandomForestClassifier,16,0.20379161004582969,0.031062116135716633,0.031062116135716633
all,0.895386671766248,0.0,0.8929888493015906,0.0,0.9524455192141216,0.0,0.9538601091230712,0.0,0.0,0.0,0.9374289851075566,0.0,0.0,0.0,0.9932775038578796,0.0,0.0,0.0,0.798137367010762,0.0,0.0,0.0,0.7826560848220362,0.0,0.0,0.0,0.9429000061747586,0.0,0.0,0.0,0.5618754085949764,0.0,0.5587472402129148,0.0,0.777220929104036,0.0,ZNF814,RandomForestClassifier,all,0.22390884460912142,0.04444013580596595,0.04444013580596595
2,0.9216069569724156,0.0,0.916904159822624,0.0,0.8259197316569713,0.0,0.9417785440053842,0.0,0.0,0.0,0.9359019892485424,0.0,0.0,0.0,0.8232309063614187,0.0,0.0,0.0,0.5505531582171708,0.0,0.0,0.0,0.5275771386375471,0.0,0.0,0.0,0.345326429684281,0.0,0.0,0.0,0.3628937625943069,0.0,0.3638799502033926,0.0,0.3095285263532987,0.0,ZNF672,RandomForestClassifier,2,0.16369718843415448,0.018997829425918433,0.018997829425918433
4,0.9216069569724156,0.0,0.916904159822624,0.0,0.8259197316569713,0.0,0.9435922728532397,0.0,0.0,0.0,0.9401246853525878,0.0,0.0,0.0,0.8418725370613624,0.0,0.0,0.0,0.5817768249627987,0.0,0.0,0.0,0.5533559554101978,0.0,0.0,0.0,0.3654872327231031,0.0,0.0,0.0,0.3880996801424883,0.0,0.3817930652300121,0.0,0.2469300771269973,0.0,ZNF672,RandomForestClassifier,4,0.17156289018018567,0.023220525529963787,0.023220525529963787
8,0.9216069569724156,0.0,0.916904159822624,0.0,0.8259197316569713,0.0,0.949525181954946,0.0,0.0,0.0,0.946273640253247,0.0,0.0,0.0,0.8547384593732408,0.0,0.0,0.0,0.6109641316716706,0.0,0.0,0.0,0.5801740143960362,0.0,0.0,0.0,0.3954235810986185,0.0,0.0,0.0,0.4061446751999397,0.0,0.4022245052700852,0.0,0.305105235767557,0.0,ZNF672,RandomForestClassifier,8,0.17794950912595103,0.02936948043062304,0.02936948043062304
16,0.9216069569724156,0.0,0.916904159822624,0.0,0.8259197316569713,0.0,0.9487481642690884,0.0,0.0,0.0,0.9451299854783736,0.0,0.0,0.0,0.8557724244698817,0.0,0.0,0.0,0.6259863111317882,0.0,0.0,0.0,0.599493884448609,0.0,0.0,0.0,0.3880502028107147,0.0,0.0,0.0,0.4061446751999397,0.0,0.4022245052700852,0.0,0.305105235767557,0.0,ZNF672,RandomForestClassifier,16,0.19726937917852377,0.028225825655749603,0.028225825655749603
all,0.9216069569724156,0.0,0.916904159822624,0.0,0.8259197316569713,0.0,0.9545921236853748,0.0,0.0,0.0,0.9508652049024856,0.0,0.0,0.0,0.8542289829236255,0.0,0.0,0.0,0.622823115480595,0.0,0.0,0.0,0.5959439016557161,0.0,0.0,0.0,0.3845363501982921,0.0,0.0,0.0,0.4061446751999397,0.0,0.4022245052700852,0.0,0.305105235767557,0.0,ZNF672,RandomForestClassifier,all,0.1937193963856309,0.03396104507986164,0.03396104507986164
