,Count,roc_auc_train_H_PWM,roc_auc_train_H_PWM_di,roc_auc_test_H_PWM,roc_auc_test_H_PWM_di,roc_auc_test_M_PWM,roc_auc_test_M_PWM_di,roc_auc_train_H,mean_auc_train_H,median_auc_train_H,std_auc_train_H,roc_auc_test_H,mean_auc_test_H,median_auc_test_H,std_auc_test_H,roc_auc_test_M,mean_auc_test_M,median_auc_test_M,std_auc_test_M,pr_auc_train_H,mean_pr_auc_train_H,median_pr_auc_train_H,std_pr_auc_train_H,pr_auc_test_H,mean_pr_auc_test_H,median_pr_auc_test_H,std_pr_auc_test_H,pr_auc_test_M,mean_pr_auc_test_M,median_pr_auc_test_M,std_pr_auc_test_M,pr_auc_train_H_PWM,pr_auc_train_H_PWM_di,pr_auc_test_H_PWM,pr_auc_test_H_PWM_di,pr_auc_test_M_PWM,pr_auc_test_M_PWM_di,TF_name,Model,PWM,Seq_count,PR_delta_M,ROC_delta_M
41,28,0.8124372627296406,0,0.7344274307437717,0,0.8380660774805359,0,0.8163065229614204,0,0,0,0.7558731560492871,0,0,0,0.82618988752307,0,0,0,0.1156915431734021,0,0,0,0.0961671141589863,0,0,0,0.4618686941052798,0,0,0,0.1304286017462729,0,0.1600847718171184,0,0.5970775872364865,0,JRK,LogisticRegression,mono,,-0.5970775872364865,-0.8380660774805359
42,30,0.85270864173643,0,0.8584841361216734,0,0.9175148214592496,0,0.9148864403728856,0,0,0,0.9204898165435478,0,0,0,0.91454034326586,0,0,0,0.3319329145565972,0,0,0,0.3783114480895284,0,0,0,0.268898363246257,0,0,0,0.2516671571370378,0,0.2853810299616274,0,0.1338671974648314,0,ZNF471,LogisticRegression,mono,,-0.1338671974648314,-0.9175148214592496
43,38,0.7599692599905523,0,0.8215260295336441,0,0.7306310198370317,0,0.8370081531243903,0,0,0,0.8919694935443407,0,0,0,0.7313755358520232,0,0,0,0.1071396008702482,0,0,0,0.1585962597835406,0,0,0,0.0302835341154494,0,0,0,0.0544490181422074,0,0.1097649738592318,0,0.013176711874348,0,ZBTB8A,LogisticRegression,mono,,-0.013176711874348,-0.7306310198370317
44,25,0.891643577867023,0,0.8859072232877865,0,0.8792587196850656,0,0.8991860575523389,0,0,0,0.893560136793636,0,0,0,0.8814788605783559,0,0,0,0.4433003943973101,0,0,0,0.4687599690262775,0,0,0,0.5934538701242065,0,0,0,0.3773454854730654,0,0.3912852680311022,0,0.5106834743262114,0,ZNF251,LogisticRegression,mono,,-0.5106834743262114,-0.8792587196850656
45,34,0.8956597741610302,0,0.9328339076415346,0,0.925366201081258,0,0.9097703807882414,0,0,0,0.941746159819457,0,0,0,0.9445062750851216,0,0,0,0.6806989328543909,0,0,0,0.7597924170817277,0,0,0,0.5247751853959748,0,0,0,0.6562780116953343,0,0.7520920210595183,0,0.5077722553032576,0,ZNF493,LogisticRegression,mono,,-0.5077722553032576,-0.925366201081258
46,23,0.7516144202242215,0,0.6345586542203204,0,0.7409661803012654,0,0.7653991753818998,0,0,0,0.6455598379241111,0,0,0,0.7445483573926515,0,0,0,0.0487049298263731,0,0,0,0.0203752262535769,0,0,0,0.0860196328599636,0,0,0,0.0488326776579147,0,0.0719298282998818,0,0.2530929364844755,0,VDR,LogisticRegression,mono,,-0.2530929364844755,-0.7409661803012654
47,20,0.880264405657228,0,0.8783065025794187,0,0.6578380415858719,0,0.90922415653184,0,0,0,0.9068330614264106,0,0,0,0.6800486984216343,0,0,0,0.3877441559097818,0,0,0,0.4689849462160843,0,0,0,0.1746981155895202,0,0,0,0.2991891689092597,0,0.379361303458397,0,0.1114698401552772,0,ZNF322,LogisticRegression,mono,,-0.1114698401552772,-0.6578380415858719
48,33,0.8072895080601898,0,0.7904108650353804,0,0.915368199725196,0,0.8374098903495012,0,0,0,0.8271285019673358,0,0,0,0.9473895160413904,0,0,0,0.340850645485912,0,0,0,0.2759523182392718,0,0,0,0.3908711029207817,0,0,0,0.2151607140428434,0,0.164652813635906,0,0.2182904221184068,0,NACC2,LogisticRegression,mono,,-0.2182904221184068,-0.915368199725196
49,25,0.8618025283699793,0,0.8482436401468111,0,0.6426638453864635,0,0.8673543005312229,0,0,0,0.8570875606040942,0,0,0,0.6537914351035813,0,0,0,0.2099754794361047,0,0,0,0.173088521261876,0,0,0,0.1445172150683679,0,0,0,0.1899166920932206,0,0.1569685976625003,0,0.140785572105615,0,ZNF107,LogisticRegression,mono,,-0.140785572105615,-0.6426638453864635
50,27,0.7829299134920569,0,0.7836557018260859,0,0.7887097395155559,0,0.8170638383474095,0,0,0,0.8097920519793369,0,0,0,0.8093269265062442,0,0,0,0.0710180130831285,0,0,0,0.0461769693048041,0,0,0,0.0527115853867736,0,0,0,0.0473083084507284,0,0.0419366630604258,0,0.0581894490641447,0,ZNF648,LogisticRegression,mono,,-0.0581894490641447,-0.7887097395155559
